क्रियाकासाधारण रूप: hnit
नियुक्तमामला: hnak
एयरोसोल: xres
मालिकानामामला: kxik
nominalization: mlec
अधीनमामला: dzak
पल्लाझुकना: pxak
सहायकक्रिया: xyik
मुख्यवस्तु: mlut
कंप्यूटरवायरस: prus
व्यापारी: hqis
एलोग: hqen
antessiveमामला: ts6k
प्रधानमंत्री: pxis
ल्यूटेशियम: lyum
युरोपियम: rwum
भावकाप्रकट करना: xrot
लोकसंगीत: zyik
कवि: vwit
डाकघर: pxot
मानाजाताहै कि: hvas
चेतनलिंग: hven
subessiveमामला: bvik
गैसपेडल: glep
polarity: pr6t
वाहनलिंग: vlin
खनिजलिंग: xrin
क्रिया-प्रत्यय: hvif
आवेशपूर्ण: pc6n
समैरियम: sr6m
फैसिलिटेटर: hs6t
काल्पनिकइकाई: xyin
प्रकाशकिगति: kxac
वायुसेना: hxes
empatheticहर्ष: pfec
क्रांतिकबिंदु: qyit
पूरासमय: hxem
हेफ़नियम: xyam
निषेध: hn6s
परिवर्तनकाघटना: qrin
holmium: xlim
अलगघटना: hf6t
ब्रम्हांडलिंग: hvip
इलाकेलिंग: kxen
वास्तविकमशीन: hvim
अनुसंधानलिंग: txen
कलात्मकलिंग: ts6n
crastinalकाल: sl6t
सारलिंग: srep
exocentricमामला: zrek
सकर्मकक्रिया: txif
शब्दकाभाग: tfom
अंधराष्ट्रीवादी: dvis
अतीतसाधक: xrat
व्यवसायिक: hy6n
अप्रत्यक्षभाषण: tyoc
दूसराभाषा: draf
कोहोना: txis
कब्रस्तानखिसकजाना: vrak
सामूहिकसंज्ञा: hxos
absolutiveमामला: bvuk
मरीजट्रिगर: tr6t
स्वयंआत्मविश्वास: hs6s
मल: hzos
कर्मकर्त्ताआवाज़: hf6s
अवैयक्तिकक्रिया: hxek
सीबोर्गियम: br6m
सफेदस्थान: hxep
मोडलमामला: dlok
अचेतनलिंग: hj6n
प्रेरणाका: qran
propositiveमनोदशा: psom
बिजलीवर्तमान: tr6n
जोड़नेवालामामला: nwok
अतिशयोक्तिमामला: tluk
बहुतबहुत: xyut
ग्रहोंलिंग: pxen
एनिमेटेडकार्टून: nwuk
पारस्परिकआवाज़: vrik
कानूनबनाना: hqaf
परकमसे कम: vlas
व्याकरण-मामला: qrak
उपयोगकर्ता: pxut
कोरbenefactive: kfef
गोलकीपर: hgop
:AksseptFor: kcef
भाजक: dvan
किसीऔरयदि: lyek
बग़लमें: hx6s
एकदूसरे: dles
क्रमिकधारा: lyuk
थकना: hxun
निकर: ht6k
डिस्प्रोसियम: prom
शीघ्रभविष्यकाल: rwec
siइकाइयों: vyin
क्रीप्टोण: kxon
मेण्डेलीवियम: dlem
अनुप्रयोगीआवाज़: hp6s
antipassiveआवाज़: tsef
सततपहलू: ht6p
विकिरणबीमारी: hr6k
necessitativeमनोदशा: hn6t
एककार्यक्रिया: hqek
railcar: xlak
अतिशयोक्तिउपाधि: tlup
अस्तित्वधारा: hs6k
कलिफ़ोरनियम: kf6n
वर्तमानकृदंत: vrat
प्रकाशयुक्ततीव्रता: hc6t
singulativeसंख्या: slus
व्याकरण-वस्तु: hy6t
निष्क्रियकृदंत: vris
अत्यधिकअवधि: kxic
सुपरतरल: sr6t
रकमकापदार्थ: ks6t
पूछेमामला: pxok
निर्वाचितquantifier: lwif
gadolinium: dl6n
epentheticशब्दका भाग: hp6m
निगेटिवquantifier: nwif
आइंस्टिनियम: ny6n
कृत्रिमभाषा: txac
संयोजीकण: qrik
दूरस्थभविष्यकाल: twec
किसीकार्यकी पुनरावृत्ति दिखानेवाला पहलू: hfep
बांटनेवालासर्वनाम: bvin
व्याख्यानसमझौता: hk6m
गंजा: blos
उपनगर: syum
सार्वभौमिकquantifier: vlit
कंप्यूटरप्रोग्रामिंग: mr6m
टेलीविजनकार्यक्रम: tr6m
चलबिन्दुसंख्या: hvun
अस्तित्वquantifier: tl6t
दिनबादआने वाला कल: dwek
विकल्पquantifier: lw6t
उतावला: hdup
अतीतनिष्क्रियकृदंत: hp6t
दिनसेपहले बिता कल: txet
लोकैटिवदिशात्मकमामला: tc6k
प्रतितथ्यात्मकसशर्त: ht6c
