ﺭﺪﺼﻣ: hnit
ﻩﺪﻌﻣ: hpem
ﺞﻧﺮﺑ-ﺰﻠﻓ: pcon
ﻪﻠﻗ: hzik
ﻢﺠﻨﭘ: pfik
ﻥﺍﺯﺭﺍ: brat
ﯼﺭﺎﺼﺤﻧﺍ-ﺺﺨﺷ: kwen
ﻥﺩﺮﮐ-ﺐﺣﺎﺼﺗ: zrat
ﺭﺎﺼﺣ: hzas
ﻪﻤﺴﺠﻣ: tfam
ﻪﻧﺎﺨﭘﻮﺗ: tlep
ﻦﺘﻓﺮﯾﺬﭘ: mrap
ﻑﺍﺮﻃﺍ: sren
ﺍﺪﮐﻮﻣ: srot
ﻥﺯﻮﮔ: hluf
ﻪﺗﻮﺑ: hbuc
ﻦﻫﺁ-ﻩﺍﺭ: hrep
ﻪﯿﻠﺨﺗ: hduk
ﺙﺭﺍﻭ: mris
ﻁﻮﻠﺑ: blun
ﺪﻨﯾﺎﺷﻮﺧﺎﻧ: pren
ﻉﺍﺮﺘﺧﺍ: hgic
ﻮﻧﺎﯿﭘ: pyon
ﻥﺩﺮﮐ-ﺪﻋﺎﻘﺘﻣ: swen
ﯽﻔﺨﻣ: gric
ﻡﺎﻨﮑﯿﻧ: ryun
ﻢﻠﻇ: kluk
ﻪﺳﻮﺳﻭ: hyoc
ﯽﯾﺎﻬﻧ-ﻑﺪﻫ-ﯼﺍﺭﺍﺩ ﻪﺒﻨﺟ: hlep
ﯼﺩﺎﺼﺘﻗﺍ: kfik
ﻲﻠﻠﻤﻟﺍ-ﻦﻴﺑ: troc
ﻥﺩﺮﮐ-ﻪﻠﺧﺍﺪﻣ: tcek
ﻑﻮﺴﻠﯿﻓ: flif
ﺎﺒﯾﺯ: gyit
ﻩﺎﻓﺭ: kyen
ﯽﻫﺎﻣ-ﺪﯿﺻ: mlak
ﺖﻗﺮﺳ: truc
ﺐﻟ: hloc
ﻪﺘﺴﺸﻧﺯﺎﺑ: ryac
ﻂﺴﺑ: sras
ﺲﮑﻋ-ﻡﻮﺒﻟﺁ: glen
ﺕﺍﺯﺍﻮﻣ-ﻪﺑ: zlan
atelic-ﻪﺒﻨﺟ: htep
ﻩﺭﺎﻗ: trap
ﻥﺍﺮﮔ-ﺖﻟﺎﺣ: nrim
ﺕﺍﻭﺍﺮﮐ: dwat
ﻝﻮﻠﺳ: slep
ﻍﺮﻣ-ﻢﺨﺗ: dyan
ﯽﻋﻮﻨﺼﻣ: jrat
ﻦﻤﺿ-ﺭﺩ: nwis
ﻥﺍﺮﺤﺑ: ksot
ﺏﺩﺍ-ﺎﺑ: sloc
ﺭﺎﻫﺎﻧ: lyon
ﺝﺎﮐ: pwon
ﺭﺎﺸﻓ: hcef
ﺩﺎﺤﺗﺍ: lyen
ﺮﻤﮐ-ﺭﻭﺩ: hkop
ﻩﺰﺠﻌﻣ: hmek
ﻥﺍﻮﻠﻣ: slis
ﺹﻮﻠﺧ: prut
ﯼﺭﻮﻬﻤﺟ: hguk
ﻦﻔﻠﺗ: tfen
ﻕﻼ﻿ﺷ: krip
ﻦﻫﺍﺮﯿﭘ: cyim
ﻥﺩﺮﮐ-ﯽﻓﺮﻌﻣ: ryas
ﻪﭘﺎﻧﺎﮐ: hsof
ﺖﺸﮔﺮﺑ-ﻭ-ﺖﻓﺭ: hsup
ﺩﺯﺩ: ksif
ﻆﻔﺣ: nrec
ﻝﺎﻧﺎﮐ: kcen
ﺖﯿﺼﺨﺷ: klim
ﺕﺎﺣﻼ﻿ﺻﺍ: kfam
ﺰﯿﻣﺁ-ﺪﯾﺪﻬﺗ: hzim
ﺖﺳﺩ-ﻒﻛ: plim
ﻮﮔﺪﻨﻠﺑ: hzak
ﻪﻧﺎﺘﺳﺁ: dwic
ﻥﺩﺮﮐ-ﺭﺍﺩﺍﻭ: pris
ﻩﺰﯿﻧ: bzak
ﻪﺘﻓﺭ-ﻭ-ﻪﺘﺴﺷ: syec
ﻪﺴﻠﺟ: cwen
ﻪﺠﻨﮑﺷ: crot
ﺖﺑﻮﻃﺭ: tcum
ﺱﺍﺮﻟﺍ-ﻂﺧ: grit
ﺮﻓﺎﺴﻣ: hyek
ﻪﻧﺎﺧﺭﺎﮐ: mwik
ﻪﺸﻘﻧ: jrac
ﻪﻘﯾ: klok
ﻥﺩﺮﮐ-ﻦﯾﺰﮕﯾﺎﺟ: klif
ﺍﺪﻤﻋ: drat
ﻮﺠﺑﺁ: hbif
ﯽﻠﻤﺨﻣ: hwem
ﻦﯿﻣﺯ-ﻪﺑﺫﺎﺟ: gwit
ﻪﺒﻄﺧ: hpum
ﻩﺩﺎﻔﺘﺳﺍ-ﻮﺳ: glas
ﻪﻠﮔ: hgen
ﻩﺩﺰﯿﺳ: tres
ﻪﯿﺟﻮﺗ: jyit
ﻪﻌﻤﺟ: crum
ﻮﻣ-ﻢﻠﻗ: broc
ﺩﻮﻠﻧﺍﺩ: dlas
ﻡﺮﮐ-ﮓﻧﺭ: krem
ﻩﺮﺨﺻ: klaf
ﻥﺍﺭﻭﺍﺩ-ﺖﺌﯿﻫ: jrin
ﻻ﻿ﻮﯿﻫ: ksos
ﻩﺩﺯ-ﺦﯾ: hgoc
ﻥﺍﺪﻠﮔ: pfot
ﯽﻨﭘ: psen
ﻥﺩﺮﮐ-ﺭﺍﺮﺻﺍ: srut
ﺐﯿﺳ: hpep
ﻮﮕﺘﻔﮔ-ﻭ-ﺚﺤﺑ: drak
ﻪﻨﯿﻣﺯ-ﺲﭘ: prun
ﻥﺩﺮﮐ-ﯽﺴﯾﻮﻧﻭﺭ: trim
ﯼﺎﻫﺭﻭﺩ: prik
ﯽﻣﺮﮔﺮﺳ-ﻭ​​-ﺢﯾﺮﻔﺗ: nren
ﺱﻭﺮﯾﻭ: bris
ﻪﻧﺎﮔ-ﻪﭽﺑ: blit
ﻥﺩﺮﮐ-ﺲﮑﻌﻨﻣ: flit
ﻞﯾﺪﺒﺗ: kcet
ﯽﻠﮐ-ﺡﺮﻃ: kluc
ﺍﺮﭘﺍ: hpop
ﺐﯾﻮﺼﺗ: nron
ﻥﺩﺮﮐ-ﺖﻧﺎﯿﺧ: rwak
ﻥﺩﺮﮐ-ﻪﯿﺒﻨﺗ: hzen
ﺞﻧﺭﺁ: kcon
ﯽﮕﺘﺴﺒﻟﺩ: tcet
ﯼﺯﺎﺳﺯﺎﺑ: hrop
ﮎﻮﮑﺸﻣ: cyec
ﺩﺎﺘﻔﻫ: swet
ﺱﺪﻘﻣ-ﺏﺎﺘﮐ: srip
ﻝﺍﺩﻮﮔ: grac
ﻝﻼ﻿ﺘﺧﺍ: dlak
ﯽﯾﺎﺗﻭﺩ: byin
ﻪﻌﻣﻮﺻ: bjan
ﻥﺎﮑﯿﭘ: tcec
ﻞﯾﺎﻤﺗ: trec
ﻩﺪﺷ-ﺖﺳﺭﺩ-ﻪﻧﺍﺩﺎﺘﺳﺍ: frat
ﯼﺭﺍﺩﺎﻓﻭ: hlot
ﻪﮑﺳ: syip
ﻩﺯﺮﻟ: tcem
ﺪﯿﻌﺒﺗ: gwin
ﯽﮑﯿﻧﺎﮑﻣ: myim
ﻡﺍﺩ: crap
ﮏﯿﮐ: kyek
ﺎﻗﺁ: cyes
ﻎﯾﺭﺩ: sret
ﻩﺪﻔﻫ: syet
ﻞﺴﻋ: myon
ﻁﺮﺷ: dzat
ﺝﺁ: hjam
ﺮﺟﺁ: brit
ﺩﺎﺘﺸﻫ: hpes
ﻪﻧﺎﻔﺳﺎﺘﻣ: pcen
ﺕﺭﻮﺸﻣ: kcot
ﻪﻧﺎﺴﻓﺍ: lwen
ﻥﺩﺮﮐ-ﻭﺭﺩ: hfos
ﻊﯿﻓﺮﺗ: pfon
ﻕﺎﺟﺍ: hsop
ﯽﺷﺭﻮﺷ: bric
ﻩﺩﺎﺘﻓﺍ-ﺪﻣ-ﺯﺍ: hnom
ﻡﺭﻮﺗ: cron
ﻕﻼ﻿ﺗﺎﺑ: swot
ﺲﺳ: hdes
ﻪﻧﺍﺪﻫﺍﺯ: pces
ﺮﯾﺪﻣ: mren
ﺮﮐ-ﻩﻭﺮﮔ: cros
ﯽﻘﻄﻨﻣ: tson
ﺵﺯﺍﺩﺮﭘ-ﻝﺎﺣ-ﺭﺩ: pson
ﮒﺮﮔ: blaf
ﺵﺮﻓ: hgap
ﺖﻣﺪﻗ: hjak
ﺭﻭﺭﺎﺑ: frut
ﺕﻮﺳ: slif
ﺮﯿﻨﭘ: twis
ﺶﯿﻧ: byat
ﻥﺩﺮﻛ-ﺕﻮﻋﺩ: jwan
ﻊﻣﺎﺟ-ﯼﺎﺴﯿﻠﮐ: kyet
ﻩﺎﮔﺭﺪﻨﺑ: brak
ﻥﺩﻮﺑ-ﻥﺍﺩﺮﮔﺮﺳ: djan
ﯽﻋﺍﺭﺯ-ﺕﻻ﻿ﻮﺼﺤﻣ: tsos
ﯽﯾﺎﯾﺭﺩ-ﯼﻭﺮﯿﻧ: nlen
ﮏﺳﺎﻣ: mrok
ﺩﺍﺪﻣ: pses
ﯼﺰﺒﺳ: sroc
ﻩﺎﮕﺸﯾﺎﻤﻧ: hzet
ﺭﺍﻮﻠﺷ: tlun
ﺩﺎﺴﻓ: hrup
ﻪﻨﯿﺑﺎﮐ: nram
ﭖﻮﺳ: srup
ﺡﺍﺮﺟ: syon
ﯼﺮﻤﺘﺴﻣ: tcot
ﺱﻮﺳﺎﺟ: gyas
ﺍﻭﺮﭘ-ﯽﺑ: hlec
ﺱﺎﺳﺍ-ﯽﺑ-ﺕﺎﻌﯾﺎﺷ: gyic
ﺰﻣﺭ: hzon
ﻩﺪﯿﮑﭼ: srok
ﻪﺒﻨﺷ-ﺞﻨﭘ: cwim
ﮏﯿﻓﺍﺮﺗ: ryaf
ﯼﺭﺎﻤﻌﻣ: ryek
ﮎﺮﺗ: rwaf
ﺖﻨﯾﺯ: rwon
ﺱﻮﮑﻌﻣ: lwas
ﻥﺩﺮﮐ-ﺮﯿﺤﺘﻣ-ﻭ ﺕﺎﻣ: mwun
ﺩﻮﺒﻬﺑ: ksus
ﻭﺭ-ﻩﺩﺎﻴﭘ: plut
ﻊﻃﺎﻗ: dyin
ﯽﻔﻨﻣ: nraf
ﻩﺭﺍﻮﻨﺸﺟ: hfec
ﻥﺩﺍﺩ-ﺶﻫﺎﻛ: hrum
ﺖﻧﺎﯿﺧ: zyan
ﯽﭼﺭﺎﮑﺷ: djin
ﺭﺎﻣ: syen
ﯼﺮﺗﺎﺑ: bret
ﻡﻮﻣ: flam
ﻩﺎﮔﺍﺭﺎﮐ: dlit
ﻞﯿﻠﺤﺗ: nlis
ﺪﯿﮐﺎﺗ: hzot
ﺎﻨﺷ: twen
ﻪﻣﺎﻧ-ﺖﻛﺎﭘ: lwaf
ﻪﮐ-ﯽﺴﮐ-ﺮﻫ: hgek
ﺭﺎﮕﯿﺳ: jrit
ﺭﻮﺗﻮﻣ: mrot
ﺐﻠﻃﻭﺍﺩ: hwot
ﻞﻤﻌﻟﺍ-ﺲﻜﻋ: ryif
ﻥﺍﺪﻤﭼ: blam
ﺍﻮﻨﺷﺎﻧ: hboc
ﻩﻮﯿﻤﺑﺁ: hjus
ﯽﻨﺗﻭﺮﻓ: jlit
ﺕﺭﺍﺯﻭ: mret
ﯽﺴﻨﺟ: hjon
ﺮﻄﻗ: dyam
ﺮﺒﺗ: blac
ﺱﺎﻤﻟﺍ: dlam
ﺏﻭﺎﻨﺘﻣ: hlek
ﮎﺍﻭﮋﭘ: hgus
ﯼﺭﺍﺩ-ﻦﺘﺸﯾﻮﺧ: swon
ﺖﯾﻮﻫ: hdaf
ﺶﯾﺎﻤﻧ-ﻪﺤﻔﺻ: krun
ﻞﺒﻨﺗ: lwis
momentane-ﻪﺒﻨﺟ: hmop
ﺭﻮﺟ-ﻭ-ﻊﻤﺟ: kfot
ﯽﮔﺪﻧﺍﺭ: hdif
ﻥﺪﺷ-ﺪﯾﺪﭘﺎﻧ: hgaf
ﻪﻌﺷﺍ: ryen
ﺮﻫﻮﺟ: mwic
ﻢﯿﻈﻋ: mraf
ﺭﺎﺒﻧﺍ: dyac
ﻲﻧﺪﻧﺎﻣ-ﺩﺎﻳ-ﻪﺑ: nrun
ﻩﺪﻨﻨﮐ-ﻩﺮﯿﺧ-ﺶﺑﺎﺗ: klek
ﺎﻨﺳ-ﺲﻠﺠﻣ: slet
ﺕﻮﺑﺎﺗ: tfap
ﺶﺸﺨﺑ: frac
ﻊﻠﺑ: nlun
ﻦﺘﺧﺎﺳ-ﺎﻫﺭ: nlot
ﻥﺩﺭﻮﺧ-ﺏﺎﺗ: swun
ﺭﺍﺰﻔﻠﻋ: gram
ﻩﺪﯿﭽﯿﭘ: klos
ﺎﻔﻌﺘﺳﺍ: hzis
ﻦﺗﻭﺮﻓ-ﻡﺎﻧ-ﺖﺒﺛ: nret
ﻪﺌﻃﻮﺗ: swim
ﻞﻔﻠﻓ: prip
ﻮﺗﺎﺗ: pron
ﺩﺰﻣﺎﻧ: hzam
ﻩﺎﺑﻭﺭ: flik
ﺶﮐﺩﻭﺩ: tcon
ﻩﺎﮔﺩﺍﺩ-ﻦﯾﺍ-ﺖﯿﺣﻼ﻿ﺻ: drik
ﯼﺯﺭﻭﺎﺸﮐ: rwic
ﺖﻗﺩ: tcuk
ﻖﺑﺎﺳ-ﻩﺪﺷ-ﺕﻮﻓ: brim
ﮏﯿﺗﺍﺮﮐﻮﻣﺩ: mrek
ﻪﻧﺍﻮﺟ: hbos
ﻮﺘﭘ: bwat
ﮒﺮﮕﺗ: hgep
ﮎﻮﺧ: srus
ﻞﮑﺷ: krek
ﺝﺎﻋ: craf
ﮏﯿﺳﻼ﻿ﮐ: ksok
ﻩﺪﻨﻨﮐ-ﻩﺪﻫﺎﺸﻣ: nwet
ﻞﯿﻓ: lwit
ﻦﺧﺎﻧ: nwus
ﺭﻮﺒﻧﺯ: hmif
ﻦﻓﺩ: dzan
ﺮﮕﯾﺯﺎﺑ: bzat
ﻕﺮﻋ: zwan
ﯽﻧﺎﺘﺴﻬﻟ: ploc
ﻝﺎﯿﺧ: hlus
ﺪﯾﺩﺮﺗ: pcet
ﻡﻭﺩ: syif
ﻥﺩﺮﮐ-ﺎﺗ: tsot
ﯽﯾﺎﺘﺳﻭﺭ: grun
ﻪﻟﺎﻧ: nyen
ﻪﯿﺒﺷ: slec
ﻝﻮﻗ-ﻞﻘﻧ: hzun
ﻪﺴﯿﮐ: cyek
ﯼﺭﻮﺨﻟﺩ: fren
ﻥﺯﻮﺳ: hjun
ﻝﺮﺘﻨﮐ: nroc
ﻪﺟﻮﺟ: truk
ﺭﺍﻮﺘﺳﺍ: kwot
ﻪﮑﺸﺑ: bras
ﯽﮕﺸﯿﻤﻫ-ﻪﺒﻨﺟ: hcep
ﺱﺎﻨﺷﺭﺎﮐ: ksec
ﻦﺘﺷﺍﺬﮔ-ﺮﯿﺛﺎﺗ: blin
ﻥﻮﺘﯾﺯ: zlin
ﻥﻭ: myen
ﻊﻧﺎﻣ: bwak
ﻥﺩﺮﮐ-ﻩﺭﺎﺷﺍ-ﺮﺳ ﺎﺑ: kcec
ﺮﺘﺳﺎﻓ: plaf
ﻒﯾﺮﻌﺗ: fyic
ﺪﻟﻮﺗ-ﺯﻭﺭ: gjin
ﺶﮑﭼ: hcof
ﺮﻄﻌﻣ: hfon
ﺭﺍﺮﮑﺗ: trun
ﯽﻬﯾﺪﺑ: twut
ﻥﺩﺯ-ﺪﮕﻟ: hjik
ﯼﺭﺎﻔﺣ: kwaf
ﯽﮕﻧﺎﺧ-ﻥﺍﻮﯿﺣ: plot
ﻪﻤﺠﻤﺟ: hcop
ﻪﻨﻨﻘﻣ-ﻩﻮﻗ: dlik
ﻪﻨﺷﺎﭘ: cruk
ﻢﺧﺍ: crun
ﻉﺍﺮﺘﺧﺍ-ﺖﺒﺛ: plet
ﻥﻮﯿﻠﯿﺑ: blim
ﯽﯾﺎﯿﻤﯿﺷ: fyik
ﻥﺎﺒﻠﺧ: pyot
ﻥﺩﺮﮐ-ﺪﯿﻠﻘﺗ: mlot
ﻦﻣﺍﺩ: kwet
ﻩﺮﻈﺘﻨﻣ-ﺮﯿﻏ: srap
ﯽﮕﺘﻔﻫ: jwik
ﯽﻨﻓ: tfip
ﯽﻫﺎﯿﮔ-ﯽﮔﺪﻧﺯ: tset
ﻍﻼ﻿ﮐ: kraf
ﺏﺎﺘﻓﺁ-ﻉﻮﻠﻃ: sruc
ﺮﻤﻋ-ﻝﻮﻃ: glin
ﺖﮐﺭﺎﺸﻣ: hyom
ﺏﻼ﻿ﻗ: hdok
ﺮﺒﺑ: blic
ﺫﻮﻔﻧ: crut
ﻦﯿﺘﺳﺍ: slun
ﻩﺍﺮﮔﺭﺰﺑ: jras
ﯽﻣﺎﻈﻧ-ﻪﺒﺷ: mlip
ﻕﺪﻨﺧ: kroc
ﺖﯿﻣﺎﻤﺗ: kret
ﻩﺩﺯﻮﻧ: dzin
ﯽﻟﺍ: rwik
ﺕﺎﯿﻬﻟﺍ: flic
ﺭﻭﺎﻨﺷ: flut
ﻩﺮﺣﺎﺳ: byac
ﻪﻠﺻﻮﺣ-ﯽﺑ: hwuk
ﮏﯿﺗﺎﻤﻠﭙﯾﺩ: dyik
ﻩﺎﮔﺭﺎﮐ: twos
ﺯﻭﺎﺠﺗ: kcok
ﻦﯾﺎﭙﻣﺎﺷ: cyen
ﻥﺪﯿﺸﺨﺑ-ﻡﺎﻬﻟﺍ: crif
ﻢﭼﺮﭘ: hbes
ﻕﻼ﻿ﻃ: lwon
ﭻﯿﭘ: hbut
ﺪﯾﺭﻭ: jyan
ﻝﺎﻌﻓ-ﺮﯿﻏ: psif
ﻒﮐ: hgum
ﻩﺰﯾﺭ-ﮓﻨﺳ: grik
ﺪﻨﺒﺸﯿﭘ: tyen
ﻩﺭﺎﯿﺳ: gren
ﻪﭽﻗﺎﺗ: claf
ﻪﮑﻨﭘ: flon
ﯼﺮﯿﺴﻣﺮﮔ: hjip
ﺯﺎﻓ: fwas
ﻩﺍﻮﺨﻟﺩ: rwen
ﻆﻔﻠﺗ: kfun
ﻩﻮﯿﺟ: krok
ﻥﺪﯾﺰﺧ: hrem
ﺭﺎﺤﺘﻧﺍ: tcos
ﺭﺎﮕﻧﺮﺒﺧ: prot
ﻥﺩﺮﮐ-ﻡﻭﺮﺤﻣ: hpok
ﺮﻫﺎﻣ: klun
ﻦﮑﻟﺎﺑ: blik
ﻝﺎﮕﻨﭼ: fras
ﺪﻨﻣﺭﺎﮐ: mlek
ﺎﻣﺮﻓﺭﺎﮐ: myot
ﺽﺮﻋ: jrak
ﮏﯾﺮﺤﺗ: djit
ﻥﺩﺮﮐ-ﻢﻬﺘﻣ: klot
ﯽﮕﺘﺴﺸﻧﺯﺎﺑ-ﻕﻮﻘﺣ: pyen
ﻞﻌﻓ: kres
ﻥﻮﻤﯿﻣ: mwon
ﻝﻮﺒﻗ-ﻞﺑﺎﻗ: hwek
ﺎﻀﻣﺍ: tlim
ﺲﮐﻭﺪﺗﺭﺍ: rwos
ﺰﻨﻃ: fron
ﻪﻧﺎﺨﻠﮔ: nrap
ﯽﻠﯿﻣ-ﯽﺑ: jlan
ﻥﺩﺮﻛ-ﺩﺭﺍﻭ: tyot
ﻞﻌﺸﻣ: croc
ﻥﺎﺑﺯ-ﺭﻮﺘﺳﺩ: gjak
ﯽﮑﻧﺎﺑ-ﻩﺩﺮﭙﺳ: gyat
ﯽﺗﺍﺮﻤﻌﺘﺴﻣ: plon
ﯽﻧﺎﺑﺩﺎﺑ-ﻖﯾﺎﻗ: jyat
ﻢﻬﻣ: kwec
ﺪﺒﻨﮔ: kwun
ﺖﻣﺎﺨﺿ: hfot
ﻖﺷ-ﻪﻠﮐ: cyon
ﻪﻠﻀﻋ: hmup
ﻩﺯﺍﺪﻧﺍ: ryam
ﻥﺪﯿﻟﺎﻣ: ryos
ﺲﻔﻨﻟﺍ-ﻒﯿﻌﺿ: rwam
ﻪﻨﻫﺩ: gwac
ﺖﺴﺗ-ﻥﺎﻧ: tros
ﺱﻭﺎﻣ: myus
ﺎﺠﻫ: slim
ﻪﺑ-ﻥﺩﺯ-ﺖﺳﺩ ﻪﺘﺴﻫﺍ: prap
ﺩﻮﻨﺷ-ﻭ-ﺖﻔﮔ: dlaf
ﯽﺜﻨﺧ: nrot
ﯽﺷﻮﮐ-ﺖﺨﺳ: dwin
ﺾﻗﺎﻨﺗ: trot
ﻥﺪﯿﺳﺭ: kfic
ﺰﺑ: byak
ﻥﺪﺷ-ﺎﻓﻮﮑﺷ: hfet
ﻞﯿﻤﺤﺗ: mlon
ﺱﺎﻨﺷﺎﻧ: nwim
ﯽﻤﺳﺭ-ﻡﺎﻧ-ﺖﺒﺛ: frit
ﻪﻟﺎﺳﻮﮔ: hbof
ﯼﺎﻤﻨﻫﺍﺭ-ﻪﭽﺑﺎﺘﮐ: mwut
ﻥﺪﺷ-ﺏﻭﺫ: hjec
ﻥﺩﺮﮐ-ﻑﺬﺣ: flas
ﺮﺘﭼ: gras
ﻦﯿﺗﻮﭘ: bzut
ﯽﻧﺪﻌﻣ: mrim
ﻪﮐﺭﺎﺘﻣ: crus
ﮎﺩﺭﺍ: hbok
ﻱﺰﻳﺭ-ﻪﻣﺎﻧﺮﺑ: pfam
ﻥﻮﺑﺎﺻ: hsuf
ﮏﺳﻭﺮﻋ: gwak
ﯼﺪﻨﺑ-ﻥﺍﻮﺨﺘﺳﺍ: klet
ﻼ﻿ﯾﻭ: blis
ﯽﮔﺪﻧﺯﻭﺩ: jlin
ﻥﺩﺍﺩ-ﯽﺘﺷﺁ: dyak
ﯼﺮﺘﮐ: kset
ﻎﻟﺎﺑ: mruc
ﺵﻮﮔﺮﺧ: kruc
ﺮﺘﺴﮐﺭﺍ-ﺮﺒﻫﺭ: nwot
ﯽﮕﺘﺴﺑﺍﻭ: djat
ﻦﮑﯾﺯﺎﺑ: jlic
ﻩﺮﺸﺣ: pset
ﻥﺍﺭﻮﺘﺳﺭ: cret
ﺪﻐﺟ: lwun
ﻝﺎﮑﯾﺩﺍﺭ: djik
ﻦﮐﺎﺳ: zwin
ﺎﻫﺩﮊﺍ: dron
ﯽﻌﻤﺳ-ﯽﮐﺭﺪﻣ: drot
ﻪﻨﺸﺗ: kyos
ﻥﺪﻧﺎﻣ-ﺮﻈﺘﻨﻣ: dren
ﻪﺒﺳﺎﺤﻣ: glun
ﺕﺍﺭﺮﻘﻣ: ryim
ﺭﺍﺩﺮﻬﺷ: mlap
ﺖﯿﻠﻗﺍ: mric
ﺏﺎﺴﺘﮐﺍ: dwon
ﺯﺎﺑﺮﺳ-ﻪﻨﻬﮐ: bren
ﺮﺘﺴﮐﺭﺍ: ryes
ﻦﮑﯿﺑ: bjin
ﺭﺮﺿ: zwat
ﻪﭼﺭﺎﭘ: frap
ﻥﺍﺩ-ﯽﻘﯿﺳﻮﻣ: gzik
ﯽﻨﻫﺫ: hnep
ﯽﮕﺘﺳﻮﯿﭘ: nyon
ﻩﺪﻨﺴﺑﺎﻧ: nrip
ﺭﺎﻤﻌﻣ: tsek
ﻮﻤﯿﻟ: nyim
ﻥﺩﺮﮐ-ﻪﻓﺮﺳ: kcos
ﺩﺭﺩﺮﺳ: crek
ﺮﺟﺎﺘﺴﻣ: ryet
ﯼﺭﻭﺭﺎﺑ: srun
ﺎﻔﺷ: hfoc
ﺩﻮﻧ: nwon
ﯽﻓﺩﺎﺼﺗ: hbec
ﻖﺷﺎﻗ: kcek
ﻥﻮﻟﺎﺑ: blon
ﭻﮔ: hfip
ﯽﻃﺎﺒﻨﺘﺳﺍ-ﯽﮐﺭﺪﻣ: nlet
ﺮﺷﺎﻧ: pcot
ﻪﮐﺮﺳ: sruk
ﺮﺘﺴﮐﺎﺧ: fyec
ﺮﯿﮕﯾﺎﺟ: slek
ﯼﺎﯿﺣﺍ: nrut
ﺱﺎﺴﺣ: kfim
ﻞﻧﻮﺗ: tfun
ﻝﺯﺎﭘ: hpef
ﻡﺰﯿﻧﺎﮑﻣ: mwim
ﺕﺎﯿﺿﺎﯾﺭ: gzit
ﻥﺪﺷ-ﻮﺤﻣ: frun
ﺪﺒﮐ: jwin
sublative-ﺩﺭﻮﻣ: bwik
ﺐﯿﺷ: dris
ﺪﺣﺍﻭ: twim
ﺭﺎﺼﺤﻧﺍ: hnop
ﺭﺎﻤﻗ: hgup
ﯽﯾﺎﯾﺭﺩ-ﺮﯾﺯ: bzin
ﻪﻟﺰﻟﺯ: hbem
ﻩﺎﮕﺸﯾﺎﻣﺯﺁ: brot
ﻪﺒﻨﭘ-ﺏﻮﭼ: kruk
ﺩﻮﺧ-ﻝﺮﺘﻨﮐ: syot
ﺍﺩﻮﺑ: hbus
ﻩﺮﮔ: bjat
ﺕﺭﺎﻔﺳ: blas
ﻦﯾﺮﺗﺭﻭﺩ: sres
ﯽﻧﻼ﻿ﻋﺍ-ﺖﻟﺎﺣ: drim
ﮎﺮﺤﻣ: tyuc
ﺕﻼ﻿ﮑﺷ: clot
ﯽﻗﺎﻔﺗﺍ: tyon
ﺶﮑﺘﺳﺩ: gwat
ﻥﺩﺯ-ﻮﻧﺍﺯ: hjek
ﺎﯿﻓﺍﺮﻐﺟ: hjif
ﯼﺭﺍﺬﮔ-ﻪﯾﺎﻣﺮﺳ: nwes
ﯽﻫﺎﻔﺷ: mrec
ﺱﺎﯿﻗ: nlip
ﺭﻻ﻿ﻮﮑﺳ: srek
ﻦﯿﻫﺎﺷ: blap
ﯽﺳﺎﻨﺷ-ﻥﺍﻭﺭ: nloc
ﻥﺩﺮﮐ-ﺖﻔﺳ: gjan
ﻪﺿﺍﺮﻗ: krep
ﺶﻘﻧ: cyum
ﺭﺍﺪﻘﻣ: hdos
ﺩﺍﺯﺁ-ﯽﻫﺎﻣ: slom
ﮓﻨﯾﺩﻮﭘ: pwun
ﯽﺴﯿﻃﺎﻨﻐﻣ: gyik
ﻪﺒﻤﻠﺗ: pcom
ﻥﮋﯿﺴﮐﺍ: ksip
ﻪﻣﺎﻧ-ﯽﻫﺍﻮﮔ: tfot
ﻝﺍﺪﻣ: hmem
ﯽﻇﺎﻔﻟ: trok
ﺵﺍﺮﺧ: rwap
ﻭﺭﺎﭘ: dyas
ﭖﻮﮑﺴﻠﺗ: trip
ﺪﻨﺑ-ﻥﺩﺮﮔ: clek
ﯽﺠﻫ: prif
ﯽﮑﺴﯾﻭ: hwos
ﺪﯿﺑ: hwof
ﺮﺘﺷ: hlum
ﺭﻮﺗﺎﻣﺁ: myet
ﺝﻭﺮﺧ: crec
ﻪﻣﺎﻨﯿﮔﺪﻧﺯ: brif
ﺮﺧ: gzac
ﻪﻧﺎﯿﻫﺎﻣ: mwis
ﯽﺷﻮﭘ-ﻢﺸﭼ: nruk
ﺕﻼ﻿ﯿﻄﻌﺗ: byit
ﮏﯿﻠﮐ: lyik
ﯽﻀﯿﺑ: twon
ﻥﺎﺴﺸﮐ: lyet
ﺖﻐﻟ-ﮓﻨﻫﺮﻓ: kfon
ﻥﻮﺒﻣﺍﮊ: gzam
ﻥﺎﻤﻛ-ﻦﻴﮕﻧﺭ: rwun
ﻥﺩﺮﮐ-ﻑﺮﺼﻣ: kcum
ﻦﻫﺩ-ﺏﺁ: tcup
ﻥﺰﺨﻣ: trek
ﺭﺎﮑﻤﻫ: clok
ﻪﻧﺍﻭﺮﭘ: trif
ﯽﻧﺎﻣﺯﺎﺳ-ﺕﺭﺎﭼ: graf
ﻮﻠﻗﻭﺩ: jwat
ﻞﻘﺘﺴﻣ-ﺭﻮﻃ-ﻪﺑ: trem
ﻥﺍﺭﺰﯿﺧ-ﺏﻮﭼ: hbum
