ﺭﺪﺼﻤﻟﺍ-ﺔﻐﻴﺻ: hnit
ﺐﻳﺬﻌﺗ: crot
ﺐﻃﺭ: tcum
ﻞﺒﺟ-ﺔﻤﻗ: grit
ﺮﻓﺎﺴﻣ: hyek
ﺔﻨﺤﻄﻣ: mwik
ﺔﻄﻳﺮﺧ-ﻢﺳﺭ: jrac
ﻕﻮﻃ: klok
ﻞﺤﻣ-ﻞﺤﻳ: klif
ﺪﻤﻌﺘﺑ: drat
ﺓﺮﻴﺑ: hbif
ﻞﻤﺨﻣ: hwem
ﺔﻴﺑﺫﺎﺠﻟﺍ: gwit
ﺔﺒﻄﺧ: hpum
ﺓءﺎﺳﺇ: glas
ﻊﻴﻄﻗ: hgen
ﺮﺸﻋ-ﺔﺛﻼ﻿ﺛ: tres
ﺮﻳﺮﺒﺗ: jyit
ﺔﻌﻤﺠﻟﺍ: crum
ﺓﺎﺷﺮﻓ: broc
ﻞﻴﻤﺤﺗ: dlas
ﻢﻳﺮﻛ: krem
ﻑﺮﺟ: klaf
ﻦﻴﻔﻠﺤﻤﻟﺍ-ﺔﺌﻴﻫ: jrin
ﺦﺴﻣ: ksos
ﺪﻤﺠﻣ: hgoc
ﺺﻴﺻﺃ: pfot
ﺵﺮﻗ: psen
ﺮﺻﺃ: srut
ﺔﺣﺎﻔﺗ: hpep
ﺶﻗﺎﻨﺗ: drak
ﺔﻴﻔﻠﺧ: prun
ﺦﺴﻨﻳ: trim
ﻱﺭﻭﺩ: prik
ﺔﻴﻠﺴﺗ: nren
ﺱﻭﺮﻴﻓ: bris
ﻲﻟﻮﻔﻃ: blit
ﺲﻜﻌﺗ: flit
ﻝﻮﺤﺗ: kcet
ﺔﻀﻳﺮﻌﻟﺍ-ﻁﻮﻄﺨﻟﺍ: kluc
ﺍﺮﺑﻭﻷ﻿ﺍ-ﺭﺍﺩ: hpop
ﺔﻘﻓﺍﻮﻣ: nron
ﺍﺮﺳ-ﻰﺸﻓﺃ: rwak
ﺔﺒﻗﺎﻌﻣ: hzen
ﻉﻮﻛ: kcon
ﻖﻠﻌﺘﻟﺍ: tcet
ﺢﻠﺼﻳ: hrop
ﻩﻮﺒﺸﻣ: cyec
ﻥﻮﻌﺒﺳ: swet
ﺱﺪﻘﻤﻟﺍ-ﺏﺎﺘﻜﻟﺍ: srip
ﺓﺮﻔﺣ: grac
ﺏﺍﺮﻄﺿﺍ: dlak
ﻲﺋﺎﻨﺛ: byin
ﺮﻳﺩ: bjan
ﻢﻬﺳ: tcec
ﻞﻴﻤﺗ: trec
ﺢﺿﻭ: frat
ءﺎﻓﻭ: hlot
ﺔﻴﻧﺪﻌﻣ-ﺔﻠﻤﻋ: syip
ﺶﻌﺗﺮﺗ: tcem
ﻰﻔﻨﻣ: gwin
ﻰﻜﻴﻧﺎﻜﻴﻣ: myim
ﺦﻓ: crap
ﺔﻜﻌﻛ: kyek
ﻱﺪﻴﺳ: cyes
ﺩﺩﺮﺗ: sret
ﺮﺸﻋ-ﻪﻌﺒﺳ: syet
ﻞﺴﻋ: myon
ﺪﺗﻭ: dzat
ﺓﻮﻄﺧ: hjam
ﺔﻨﺒﻟ: brit
ﻥﻮﻧﺎﻤﺛ: hpes
ﻆﺤﻟﺍ-ءﻮﺴﻟ: pcen
ﺭﻭﺎﺸﺗ: kcot
ﺓﺭﻮﻄﺳﺃ: lwen
ﺩﺎﺼﺣ: hfos
ﺔﻴﻔﻴﻇﻭ-ﺔﻴﻗﺮﺗ: pfon
ﺪﻗﻮﻣ: hsop
ﺩﺮﻤﺘﻣ: bric
ﺯﺍﺮﻄﻟﺍ-ﻢﻳﺪﻗ: hnom
ﻢﺨﻀﺗ: cron
ﻊﻘﻨﺘﺴﻣ: swot
ﺔﺼﻠﺻ: hdes
ﺪﻫﺍﺯ: pces
ﺮﻳﺪﻣ: mren
ﺔﻗﻮﺟ: cros
ﻲﻧﻼ﻿ﻘﻋ: tson
ﺔﺠﻟﺎﻌﻣ: pson
ﺐﺋﺬﻟﺍ: blaf
ﺓﺩﺎﺠﺳ: hgap
ﺔﻤﻳﺪﻘﻟﺍ-ﺭﻮﺼﻌﻟﺍ: hjak
ﺐﺼﺧ: frut
ﺓﺭﺎﻔﺻ: slif
ﻦﺒﺟ: twis
ﺔﻀﻋ: byat
ﻮﻋﺪﻳ: jwan
ﺔﻴﺋﺍﺭﺪﺗﺎﻛ: kyet
ءﺎﻨﻴﻣ: brak
ﻝﻮﺠﺗ: djan
ﻞﻴﺻﺎﺤﻤﻟﺍ: tsos
ﺔﻳﺮﺤﺒﻟﺍ-ﺕﺍﻮﻘﻟﺍ: nlen
ﻉﺎﻨﻗ: mrok
ﻢﻠﻗ: pses
ﺕﺍﻭﺮﻀﺨﻟﺍ: sroc
ﺽﺮﻋ: hzet
ﻝﺎﻄﻨﺑ: tlun
ﺩﺎﺴﻓ: hrup
ﺔﻧﺍﺰﺧ: nram
ءﺎﺴﺣ: srup
ﺡﺍﺮﺟ-ﺐﻴﺒﻃ: syon
ﻝﺪﺑ: tcot
ﻪﺳﻮﺳﺎﺠﻟﺍ: gyas
ﺭﻮﻬﺘﻣ: hlec
ﺔﻤﻴﻤﻧ: gyic
ﺰﻣﺭ: hzon
ﺺﺨﻠﻣ: srok
ﺲﻴﻤﺨﻟﺍ: cwim
ﺭﻭﺮﻤﻟﺍ-ﺔﻛﺮﺣ: ryaf
ﺔﻳﺭﺎﻤﻌﻣ-ﺔﺳﺪﻨﻫ: ryek
ﻉﺪﺻ: rwaf
ﺔﻓﺮﺧﺯ: rwon
ﻲﺴﻜﻋ: lwas
ﻰﻠﺳ: mwun
ﻉﺎﺟﺮﺘﺳﺍ: ksus
ﻉﺭﺎﺸﻟﺍ-ﻒﻴﺻﺭ: plut
ﻢﺳﺎﺣ: dyin
ﻲﺒﻠﺳ: nraf
ﻥﺎﺟﺮﻬﻣ: hfec
ﺪﺤﻟﺍ: hrum
ﺔﻧﺎﻴﺨﻟﺍ: zyan
ﺩﺎﻴﺻ: djin
ﻥﺎﺒﻌﺛ: syen
ﺔﻳﺭﺎﻄﺑ: bret
ﻊﻤﺷ: flam
ﻱﺮﺤﺘﻣ: dlit
ﻞﻴﻠﺤﺗ: nlis
ﺪﻳﺪﺸﺗ: hzot
ﻥﻮﺤﺒﺴﻳ: twen
ﻑﺮﻇ: lwaf
ﻥﺎﻛ-ﺎﻳﺃ: hgek
ﺓﺭﺎﺠﻴﺳ: jrit
ﻙﺮﺤﻣ: mrot
ﻉﻮﻄﺗ: hwot
ﻞﻌﻓ-ﺩﺭ: ryif
ﺔﻌﺘﻣﺃ: blam
ﻢﺻﺃ: hboc
ﺮﻴﺼﻋ: hjus
ﻊﺿﺍﻮﺗ: jlit
ﺓﺭﺍﺯﻭ: mret
ﻲﺴﻨﺟ: hjon
ﺓﺮﺋﺍﺪﻟﺍ-ﺮﻄﻗ: dyam
ﺱﺄﻔﻟﺍ: blac
ﺱﺎﻤﻟﺍ: dlam
ﻞﻳﺪﺒﻟﺍ: hlek
ﺕﻮﺻ-ﻯﺪﺻ: hgus
ﺢﺒﻛ: swon
ﺔﻳﻮﻫ: hdaf
ﺔﺷﺎﺷ: krun
ﻝﻮﺴﻛ: lwis
momentane-ﺐﻧﺎﺟ: hmop
ﻕﺎﻔﺗﺍ: kfot
ﻑﺍﺮﺤﻧﺍ: hdif
ﻰﻔﺘﺧﺍ: hgaf
ﻉﺎﻌﺷ: ryen
ﺮﺒﺣ: mwic
ﻞﺋﺎﻫ: mraf
ﻮﺒﻗ: dyac
ﺯﺭﺎﺑ: nrun
ﺞﻫﻭ: klek
ﺥﻮﻴﺸﻟﺍ-ﺲﻠﺠﻣ: slet
ﺶﻌﻧ: tfap
ﺓﺮﻔﻐﻣ: frac
ﻉﻼ﻿ﺘﺑﺍ: nlun
ﻞﻟﺩ: nlot
ﺢﺟﺭﺄﺘﻟﺍ: swun
ﺝﺮﻣ: gram
ﻊﻤﺠﻣ: klos
ﺔﻟﺎﻘﺘﺳﺍ: hzis
ﻊﺿﺍﻮﺘﻣ-ﻞﻴﺠﺴﺗ: nret
ﺓﺮﻣﺍﺆﻣ: swim
ﻞﻔﻠﻓ: prip
ﺔﻴﻓﺮﺣ-ﺔﻤﺟﺮﺗ: pron
ﺢﺷﺮﻣ: hzam
ﺐﻠﻌﺛ: flik
ﺔﻨﺧﺪﻣ: tcon
ﺹﺎﺼﺘﺧﻻ﻿ﺍ: drik
ﺔﻋﺍﺭﺯ: rwic
ﺔﻗﺩ: tcuk
ﻖﺑﺎﺳ-ﻰﻓﻮﺘﻣ: brim
ﻲﻃﺍﺮﻘﻤﻳﺩ: mrek
ﻢﻋﺮﺑ: hbos
ﺔﻴﻧﺎﻄﺑ: bwat
ﻞﺑﺍﻭ: hgep
ﺮﻳﺰﻨﺧ: srus
ﻞﻜﺸﻟﺍ: krek
ﺝﺎﻋ: craf
ﻲﻜﻴﺳﻼ﻿ﻛ: ksok
ﺐﻗﺍﺮﻣ: nwet
ﻞﻴﻓ: lwit
ﺮﻓﺎﻇﻷ﻿ﺍ: nwus
ﺔﻠﺤﻧ: hmif
ﻦﻓﺩ: dzan
ﻞﺜﻤﻤﻟﺍ: bzat
ﻕﺮﻋ: zwan
ﻱﺪﻨﻟﻮﺑ: ploc
ﻢﻫﻭ: hlus
ﻚﺸﻟﺍ: pcet
ﻱﻮﻧﺎﺛ: syif
ﺔﻴﻃ: tsot
ﻲﻔﻳﺭ: grun
ﻩﻭﺄﺗ: nyen
ﻪﺑﺎﺸﺗ: slec
ﺲﺒﺘﻗﺍ: hzun
ﺲﻴﻛ: cyek
ﺝﺎﻋﺯﺇ: fren
ﺓﺮﺑﺇ: hjun
ﺪﻫﺎﺷ-ﻭﺫ: nroc
ﺝﺎﺟﺩ: truk
ﻖﺴﺘﻣ: kwot
ﻞﻴﻣﺮﺑ: bras
ﻱﺩﺎﻴﺘﻋﺍ-ﺐﻧﺎﺟ: hcep
ﺮﻴﺒﺧ: ksec
ﺏﺎﺠﻋﺍ: blin
ﻥﻮﺘﻳﺯ: zlin
ﻞﻘﻧ-ﺓﺭﺎﻴﺳ: myen
ﺔﺒﻘﻋ: bwak
ﺓءﺎﻤﻳﺇ: kcec
ﺔﻨﺿﺎﺤﻟﺍ: plaf
ﻒﻳﺮﻌﺗ: fyic
ﺩﻼ﻿ﻴﻤﻟﺍ-ﺦﻳﺭﺎﺗ: gjin
ﺵﻮﻛﺎﺷ: hcof
ﻖﺒﻋ: hfon
ﺭﺍﺮﻜﺘﻟﺍ: trun
ﻪﻓﺎﺗ: twut
ﺔﻠﻛﺭ: hjik
ﺮﻔﺣ: kwaf
ﺔﻔﻴﻟﻷ﻿ﺍ-ﺕﺎﻧﺍﻮﻴﺤﻟﺍ: plot
ﺔﻤﺠﻤﺟ: hcop
ﺔﻴﻌﻳﺮﺸﺘﻟﺍ-ﺔﻄﻠﺴﻟﺍ: dlik
ﺐﻌﻛ: cruk
ﺱﻮﺒﻋ: crun
ﻉﺍﺮﺘﺧﻹ﻿ﺍ-ﺓءﺍﺮﺑ: plet
ﺭﺎﻴﻠﻣ: blim
ﺔﻴﺋﺎﻴﻤﻴﻛ-ﺓﺩﺎﻣ: fyik
ﺭﺎﻴﻃ: pyot
ﺪﻠﻗ: mlot
ﺓﺭﻮﻨﺗ: kwet
ﺓﺩﺎﻌﻟﺍ-ﺮﻴﻏ-ﻰﻠﻋ: srap
ﻲﻋﻮﺒﺳﺃ: jwik
ﻲﻨﻘﺗ: tfip
ﺔﻴﺗﺎﺒﻨﻟﺍ-ﺓﺎﻴﺤﻟﺍ: tset
ﺏﺍﺮﻏ: kraf
ﺲﻤﺸﻟﺍ-ﻕﻭﺮﺷ: sruc
ﺓﺎﻴﺤﻟﺍ-ﺕﺎﻗﻭﺃ: glin
ﺔﻤﻫﺎﺴﻤﻟﺍ: hyom
ﺪﻴﺻ-ﺓﺭﺎﻨﺻ: hdok
ﺮﻤﻧ: blic
ﻞﻠﺴﺗ: crut
ﻢﻛ: slun
ﻊﻳﺮﺳ-ﻖﻳﺮﻃ: jras
ﺎﻴﺸﻴﻠﻴﻣ: mlip
ﻕﺪﻨﺧ: kroc
ﺔﻫﺍﺰﻧ: kret
ﺮﺸﻋ-ﺔﻌﺴﺗ: dzin
ﻱﻮﻀﻋ: rwik
ﺕﻮﻫﻻ﻿: flic
ﻮﻔﻄﺗ: flut
ﺓﺮﺣﺎﺳ: byac
ﺮﺠﺿ: hwuk
ﻲﺳﺎﻣﻮﻠﺑﺩ: dyik
ﻮﻳﺩﻮﺘﺳ: twos
ﺯﻭﺎﺠﺗ: kcok
ﺎﻴﻧﺎﺒﻣﺎﺷ: cyen
ﻢﻬﻟﺃ: crif
ﺔﻳﺍﺭ: hbes
ﻕﻼ﻿ﻃ: lwon
ﺔﻘﻋﺎﺻ: hbut
ﺪﻳﺭﻭ: jyan
ﻝﻮﻬﺠﻤﻠﻟ-ﻲﻨﺒﻣ: psif
ﺓﻮﻏﺭ: hgum
ﻰﺼﺣ: grik
ﺭﺰﺌﻣ: tyen
ﺐﻛﻮﻛ: gren
ﻑﻮﻓﺭ: claf
ﺔﺣﻭﺮﻣ: flon
ﻲﺋﺍﻮﺘﺳﺍ: hjip
ﺔﻠﺣﺮﻣ: fwas
ﻲﻃﺎﺒﺘﻋﺍ: rwen
ﻖﻄﻧ: kfun
ﻖﺒﺋﺯ: krok
ﻒﺣﺯ: hrem
ﺭﺎﺤﺘﻧﺍ: tcos
ﻲﻓﺎﺤﺻ: prot
ﻡﺮﺣ: hpok
ﺮﻫﺎﻣ: klun
ﺔﻓﺮﺷ: blik
ﺔﻛﻮﺷ: fras
ﻞﻣﺎﻋ: mlek
ﻞﻤﻌﻟﺍ-ﺏﺭ: myot
ﺽﺮﻌﻟﺍ: jrak
ﺞﻋﺰﻨﻣ: djit
ﻢﻬﺗﺍ: klot
ﺵﺎﻌﻣ: pyen
ﻞﻌﻔﻟﺍ: kres
ﺩﺮﻗ: mwon
ﻝﻮﺒﻘﻣ: hwek
ﻊﻴﻗﻮﺗ: tlim
ﻲﺴﻛﺫﻮﺛﺭﺃ: rwos
ﺔﻳﺮﺨﺳ: fron
ﺔﻧﺎﻀﺣ: nrap
ﺔﻌﻧﺎﻤﻣ: jlan
ﺩﺍﺮﻴﺘﺳﺍ: tyot
ﺔﻠﻌﺷ: croc
ﺔﻐﻠﻟﺍ-ﺪﻋﺍﻮﻗ: gjak
ﺔﻌﻳﺩﻮﻟﺍ: gyat
ﻱﺭﺎﻤﻌﺘﺳﺍ: plon
ﺖﺨﻳ: jyat
ﺎﻴﻘﻄﻨﻣ-ﻂﺑﺍﺮﺘﻣ: kwec
ﺔﺒﻗ: kwun
ﺔﻛﺎﻤﺳ: hfot
ﺪﻴﻨﻋ: cyon
ﺔﻠﻀﻋ: hmup
ﻢﺠﺣ: ryam
ﻙﺮﻓ: ryos
ﻥﺎﺒﺟ: rwam
ﺮﻴﺨﺴﺗ: gwac
ﺺﻤﺤﻣ-ﺰﺒﺧ: tros
ﺭﺄﻓ: myus
ﻲﻈﻔﻟ-ﻊﻄﻘﻣ: slim
ﺔﺘﻴﺑﺮﺗ: prap
ﺭﺍﻮﺣ: dlaf
ﺪﻳﺎﺤﻣ: nrot
ﺩﺎﻬﺘﺟﺍ: dwin
ﺾﻗﺎﻨﺗ: trot
ﻖﻘﺤﻳ: kfic
ﺰﻋﺎﻣ: byak
ﺮﻫﺩﺰﺗ: hfet
ﺽﺮﻓ: mlon
ﻝﻮﻬﺠﻣ: nwim
ﻲﻤﺳﺭ-ﻞﻴﺠﺴﺗ: frit
ﻞﺠﻋ: hbof
ﺐﻴﺘﻛ: mwut
ﺮﻬﺻ: hjec
ﻑﺬﺣ: flas
ﺔﻠﻈﻣ: gras
ءﺍﺬﺣ: bzut
ﻥﺪﻌﻣ: mrim
ﺔﻧﺪﻫ: crus
ﻂﺑ: hbok
ﻂﻴﻄﺨﺗ: pfam
ﻥﻮﺑﺎﺻ: hsuf
ﺔﻴﻣﺩ: gwak
ﻰﻤﻈﻋ-ﻞﻜﻴﻫ: klet
ﻼ﻿ﻴﻓ: blis
ﺔﻃﺎﻴﺧ: jlin
ﺢﻟﺎﺼﺗ: dyak
ﺔﻳﻼ﻿ﻏ: kset
ﺞﺿﺎﻧ: mruc
ﺐﻧﺭﺃ: kruc
ﻞﺻﻮﻣ: nwot
ﺩﺎﻤﺘﻋﺍ: djat
ﺐﻋﻻ﻿: jlic
ﺓﺮﺸﺣ: pset
ﻢﻌﻄﻣ: cret
ﺔﻣﻮﺑ: lwun
ﻑﺮﻄﺘﻣ: djik
ﻢﻴﻘﻣ: zwin
ﻦﻴﻨﺗ: dron
ﻲﻌﻤﺳ-ﺮﻫﺎﻇ: drot
ﺶﻄﻌﺘﻣ: kyos
ﺚﻳﺮﺗ: dren
ﺔﻴﺑﺎﺴﺣ-ﺔﻴﻠﻤﻋ: glun
ﻢﻴﻈﻨﺗ: ryim
ﺓﺪﻤﻋ: mlap
ﺔﻴﻠﻗﺃ: mric
ﺫﺍﻮﺤﺘﺳﺍ: dwon
ﻢﻳﺪﻗ-ﺏﺭﺎﺤﻣ: bren
ﺍﺮﺘﺴﻛﺭﻭﺃ: ryes
ﺩﺪﻘﻣ-ﺮﻳﺰﻨﺧ-ﻢﺤﻟ: bjin
ﺉﻭﺎﺴﻣ: zwat
ﺵﺎﻤﻗ: frap
ﻲﻘﻴﺳﻮﻣ: gzik
ﺎﻴﻠﻘﻋ: hnep
ﻥﺍﺮﺘﻗﺍ: nyon
ﻢﺋﻼ﻿ﻣ-ﺮﻴﻏ: nrip
ﻪﻳﺭﺎﻤﻌﻤﻟﺍ-ﻪﺳﺪﻨﻬﻟﺍ: tsek
ﻥﻮﻤﻴﻟ: nyim
ﻝﺎﻌﺳ: kcos
ﺱﺍﺮﻟﺍ-ﻉﺍﺪﺻ: crek
ﺮﺟﺄﺘﺴﻣ: ryet
ﺔﺑﻮﺼﺧ: srun
ﻰﻔﺸﻳ---ءﺎﻔﺷ: hfoc
ﻥﻮﻌﺴﺗ: nwon
ﻲﺋﺍﻮﺸﻋ: hbec
ﺔﻘﻌﻠﻣ: kcek
ﺔﻧﻮﻟﺎﺑ: blon
ﺮﻴﺷﺎﺒﻃ: hfip
ﻲﺟﺎﺘﻨﺘﺳﺍ-ﺮﻫﺎﻇ: nlet
ﺮﺷﺎﻨﻟﺍ: pcot
ﻞﺧ: sruk
ﺩﺎﻣﺭ: fyec
ﻱﻮﺸﺣ: slek
ءﺎﻴﺣﺇ: nrut
ﺮﺛﺄﺘﻟﺍ-ﻊﻳﺮﺳ: kfim
ﻖﻔﻧ: tfun
ﺰﻐﻟ: hpef
ﺔﻴﻟﺁ: mwim
ﺕﺎﻴﺿﺎﻳﺮﻟﺍ: gzit
ﻰﺷﻼ﻿ﺗ: frun
ﺪﺒﻛ: jwin
sublative-ﺔﻟﺎﺣ: bwik
ﺲﻄﻏ: dris
ﺓﺪﺣﻭ: twim
ﺭﺎﻜﺘﺣﺍ: hnop
ﺭﺎﻤﻘﻟﺍ-ﺐﻌﻟ: hgup
ﺔﺻﺍﻮﻏ: bzin
ﻝﺍﺰﻟﺯ: hbem
ﺮﺒﺘﺨﻣ: brot
ﻦﻴﻠﻓ: kruk
ﺕﺍﺬﻟﺍ-ﺔﺒﻗﺍﺮﻣ: syot
ﺍﺫﻮﺑ: hbus
ﺔﻜﺳﺎﻤﺘﻣ: bjat
ﺓﺭﺎﻔﺴﻟﺍ: blas
ﺪﻌﺑﻷ﻿ﺍ: sres
ﻲﺤﻳﺮﺼﺗ-ﺝﺍﺰﻣ: drim
ﺰﻴﻔﺤﺘﻟﺍ: tyuc
ﺔﺗﻻ﻿ﻮﻛﻮﺷ: clot
ﺔﻓﺪﺻ: tyon
ﺯﺎﻔﻗ: gwat
ﻊﻛﺭ: hjek
ﺎﻴﻓﺍﺮﻐﺟ: hjif
ﺭﺎﻤﺜﺘﺳﺍ: nwes
ﻲﻈﻔﻟ: mrec
ﻲﺋﺰﺟ-ﻪﺑﺎﺸﺗ: nlip
ﻲﻧﺎﻤﻠﻋ: srek
ﺮﻘﺼﻟﺍ-ﺮﺋﺎﻃ: blap
ﺲﻔﻨﻟﺍ-ﻢﻠﻋ: nloc
ﻂﺑﺭ: gjan
ﺓﺩﺮﺧ: krep
ﺭﻭﺩ: cyum
ﺔﻋﺮﺟ: hdos
ﻥﻮﻤﻠﺴﻟﺍ-ﻚﻤﺳ: slom
ﻎﻧﺩﻮﺑ: pwun
ﺏﺍﺬﺟ: gyik
ﺔﺨﻀﻣ: pcom
ﻦﻴﺠﺴﻛﺃ: ksip
ﺓﺩﺎﻬﺷ: tfot
ﺔﻴﻟﺍﺪﻴﻣ: hmem
ﺔﻏﻼ﻿ﺑ: trok
ﻂﺸﻛ: rwap
ﻑﺍﺬﺠﻣ: dyas
ﺏﻮﻜﺴﻠﺗ: trip
ﺓﺩﻼ﻿ﻗ: clek
ﺔﻴﺋﻼ﻿ﻣﻹ﻿ﺍ: prif
ﻲﻜﺴﻳﻭ: hwos
ﻑﺎﺼﻔﺻ: hwof
ﻞﻤﺟ: hlum
ﻱﻭﺎﻬﻟﺍ: myet
ﺝﻭﺮﺧ: crec
ﺔﻴﺗﺍﺫ-ﺓﺮﻴﺳ: brif
ﺭﺎﻤﺤﻟﺍ: gzac
ﺎﻳﺮﻬﺷ: mwis
ﻞﻫﺎﺠﺗ: nruk
ﺔﻠﻄﻋ: byit
ﺮﻘﻧﺍ: lyik
ﻱﻮﻀﻴﺑ: twon
ﻁﺎﻄﻣ: lyet
ﺱﻮﻣﺎﻗ: kfon
ﺮﻳﺰﻨﺧ-ﻢﺤﻟ: gzam
ﺮﻄﻤﻟﺍ-ﺱﻮﻗ: rwun
ﻚﻠﻬﺘﺴﺗ: kcum
ﻕﺎﺼﺑ: tcup
ﻥﺍﺰﺧ: trek
ﻞﻴﻣﺯ: clok
ﺔﺷﺍﺮﻓ: trif
ﺔﻄﻳﺮﺧ: graf
ﻡﺃﻮﺘﻟﺍ: jwat
ﻞﻘﺘﺴﻣ: trem
ﻥﺍﺭﺰﻴﺧ: hbum
ﺮﺟﺎﺗ: jlat
ﻢﻛﺍﺮﺗ: kles
ﺶﺘﻔﻣ: nyet
ﺔﻤﻘﻟ: hyos
ﺱﻮﺑﺎﻛ: hbom
ﻰﺑﺮﻣ: gjam
ﻒﺤﺘﻣ: mrem
ﺔﻳﺪﺠﺑﻷ﻿ﺍ: lwam
ﺮﺜﻌﺒﺗ: zras
ﺓﺭﺎﻏ: crip
ﻒﺸﻛ: clus
ﻦﻔﻌﺗ: fraf
ﻲﻧﺍﻭﺪﻌﻟﺍ: gris
ﻙﺎﻜﺘﺣﺍ: mroc
ﻱﺮﺤﺑ-ﻒﻴﺻﺭ: gyac
ﺕﻮﺒﻜﻨﻋ: brik
ﺲﻃﺎﻄﺒﻟﺍ: trut
ﺔﻌﺟﺍﺮﻤﻟﺍ: cwon
ﻊﺸﺟ: jlac
ﻪﻧﺍﻭﻷ﻿-ﻖﺑﺎﺳ: ryot
ﺏﺮﺿ: gzan
ﻊﻳﺮﺳ-ﻥﺍﺭﻭﺩ: pcip
ﺕﺎﻴﺋﺎﺼﺣﺇ: tsok
ﻢﻳﻮﻘﺗ: klem
ﺢﻴﺷﺮﺗ: nwen
ﻥﻮﻴﻠﻳﺮﺗ: tlos
ﺔﻴﻠﻋ: tlok
ﺖﺒﺜﻣ-ﺝﺍﺰﻣ: rwim
ﺕﺎﻘﻴﺒﻄﺘﻟﺍ: pfen
ﻲﻤﺳﻻ﻿ﺍ: nlon
ﺎﺿﺮﻟﺍ-ﻡﺪﻋ: sraf
ﻯﻭﺪﻋ: hfok
ﻖﻳﺮﺑﺇ: krot
ﻪﻴﻔﺘﻛ-ﺰﻫ: cyok
ﺪﺋﺍﺭ: gzin
ﻝﺎﻔﻏﺇ: nlif
ﺐﻧﺮﻜﻟﺍ: glic
ﻲﺿﺎﻳﺭ: tlet
ﺮﻜﺴﻟﺍ: mrut
idiophone: hdof
ﺔﻌﻓﺍﺭ: lwek
ﺥﻮﻴﺸﻟﺍ-ﺲﻠﺠﻣ-ﻮﻀﻋ: syem
ﺔﻴﺣﺰﻗ: nrif
ﺔﻠﻤﻧ: mwam
ﻖﺑ: hbop
ﻞﻣﺎﺣ: grim
ﻞﺟﺎﻋ: hjet
ﻞﺣﺎﻜﻟﺍ: tcok
ﻒﻴﻨﺼﺗ: glik
ﺮﻴﻐﺘﻣ: prim
ﻒﻟ: ryap
ﺪﻌﺠﻣ: krec
ﺖﻳﺮﺒﻛ: hsef
ءﻼ﻿ﻣﺇ: dwik
ﺯﺮﺑ: brun
ﻉﺪﻔﺿ: fram
ﻁﺮﻔﻣ-ﺔﻟﺎﺣ: twek
ﺞﻨﻔﺳﺇ: hjen
ﺞﻋﺰﻣ: djon
ﺏﺎﺠﻨﺳ: slip
ﻦﺤﻃ: zyin
irrealis-ﺝﺍﺰﻣ: flim
ﻥﺎﻛﺮﺑ: glam
ﻞﺧﺍﺪﻟﺍ-ﻲﻓ: gron
ﻝﻼ﻿ﻐﺘﺳﺍ: kloc
ﺔﻴﺟﻮﻟﻮﻴﺠﻟﺍ: jlik
ﺮﻔﺴﻟﺍ-ﺯﺍﻮﺟ: psop
ﻕﻼ﻿ﺧﻻ﻿ﺍ-ﻢﻳﺪﻋ: mlet
ﺖﻳﻮﻜﺴﺑ: hbuk
ﻥﻭﺎﻌﺗ: kros
ﺡﻮﻟ: tlot
ءﺎﺧﺮﺘﺳﺍ: kces
ﺓﺭﺬﻟﺍ: trom
ﺯﺪﻳﻹ﻿ﺍ: hzip
ﻡﺮﻫ: psim
ﺓﺭﻭﺩ: swok
ﺓﻮﻔﻏ: hnup
ﻲﻋﺮﺷ-ﺮﻴﻏ: hjaf
ﻚﺣ: pfap
ءﺎﻴﺣ: crom
ﻑﻮﺴﻛ: klip
ﺩﻮﻋ: lwap
ﺔﺴﻨﻜﻣ: srum
ﺔﺣﻮﻟ: mwen
ﻚﻠﻔﻟﺍ-ﻢﻠﻋ: tcom
ﺔﻫﺎﺘﻣ: blen
ﺔﻴﺳﺍﺭﺩ-ﺔﺤﻨﻣ: bwit
ﺓﺎﻔﺤﻠﺳ: kfuc
ﺭﺎﺸﺘﺴﻣ: dwak
ﻒﻴﻟ: fwic
ﺖﻴﻜﻳﺮﻛ: jrik
ﺔﻣﺎﻤﺣ: ksom
ﻒﻴﻜﺗ: dyon
ﺚﻠﺜﻣ: tfon
ﻕﻭﺪﻨﺻ-ﻦﻴﻣﺃ: tsen
ﻦﻴﺟﻭﺭﺪﻴﻫ: jron
ﺶﻫ: hfuk
ﺔﻌﺑﺎﻃ: pyet
ﻖﻨﺧ: tcof
ﻦﻣﺰﻣ: gzon
ﺐﻠﻐﺗ: slaf
ﺔﻠﻀﻌﻣ: dlim
ﺔﺳﺪﻨﻫ: jyin
ﺮﻳﻮﺼﺗ-ﺔﻟﺍ: hkef
ﺭﺍﺬﺘﻋﺍ: pluc
ﻖﻌﻟ: lwet
ﺔﺼﻗﺍﺭ: dret
ﺓﺮﺠﻫ: mres
ﺲﻨﺗ: tces
ﻱﺮﻘﻔﻟﺍ-ﺩﻮﻤﻌﻟﺍ: clip
ﻰﻠﻘﺗ: zrac
ﻝﻮﻧ: tfuc
ﺔﻨﻌﻃ: twuc
ﻱﺮﺴﻟﺍ-ﺰﻣﺮﻟﺍ: psaf
ﺓﺮﻛ-ﻒﺼﻧ: praf
ﺔﻴﺠﻴﺗﺍﺮﺘﺳﺇ: zrit
ﺰﺗﺭﺍﻮﻛ: krus
ﺺﻘﻣ: jris
