απαρέμφατο: hnit
παλιά-εποχή: lyuc
κατασκήνωση: kyep
ριγέ: drip
ινδίο: nyum
φιλαληθής: hvik
δικτυακός-τόπος: bwes
Κοράνι: kwek
μαχαιροπήρουνα: fwet
νύοστη-ρίζα: tfec
λωρένσιο: lyem
πολιτικά-δικαιώματα: glip
κινητό-τηλέφωνο: mlof
παράλυτος: twoc
πρωτακτίνιο: prum
ακτινοβολία: hd6n
εξαρτώμαι-επί: pxin
θόριο-άτομο: hxim
blue--jean: bjun
φυτό-σπιτιού: hxas
μεμονωμένα: dvit
ροή-ρεύματος: lwuk
τριπλό-σημείο: ht6t
ανθρώπινο-σώμα: hn6n
φυσική: bzik
λιανεμποριο-κατάστημα: hxan
καίσιο: hs6m
μακρύς-πριν: hqan
υπολογιστικό-φύλλο: hxet
ανά-μονάδα-μάζας: hn6m
συντάσσω: ml6n
δυαδική-τιμή: vrim
ανθρώπινος-ύπαρξη: nyus
με-μέσα-του: hvan
sikap-peduli-Choiz sil off: pxat
πρασεοδύμιο: pyom
χαρτόνι: kxat
πεπερασμένος-ρήμα: hqik
δίκη-αριθμός: hr6n
pro-πρόταση: hr6t
κριτικός: hk6k
συσκευασία: pxas
παροδικότητα: pxan
στο-πλέον: txas
Περιγραφέας: drop
νεοδύμιο: nyem
φιλία: hvit
διαβάζω-μόνο: xyak
ιδρύει: xwan
gnomic-διάθεση: kxin
φωνήμα: hxom
λογική: xlit
φωνολογικός: xlin
τραπεζαρία-δωμάτιο: hxac
ζωή-δωμάτιο: hxic
κεντρικός-περίπτωση: zrik
προ-hodiernal: hx6n
ασθενής-περίπτωση: hqak
λοξός-περίπτωση: bwok
αγροτικός-περιοχή: hqat
recurse: hr6s
μέσο-φωνή: dyos
μαϊτνέριο: hm6m
μεταφορέας-μηνυμάτων: hvak
επιφυλακτικός: kxit
στοκ-αγορά: xrak
αναγνωρίσιμα: hxap
στόχος-σκανδάλη: krof
ένα-δευτερόλεπτο: hxen
τική-περίπτωση: dvak
σιτηρέσιο: hr6c
μη-ανθρώπινος: hg6n
ζωή-πράγμα: hvic
πολύ-λίγο: hxut
κινηματογράφος: hvin
χάσιο: xyim
attenuative: ty6t
multal-αριθμός: ml6m
γαλακτώδης-τρόπος: txam
ποσειδώνιο: nwem
συγγραφέας-φάντασμα: txik
trans-αριθμός: ts6s
παίζω: hqun
αμερίκιο: myem
πρωί-δόξα: txan
πυροσβέστης: xran
μπερκέλιο: blem
γαλαξίας-γένος: kxan
Νομπέλιο: blum
Αντίο: hvac
βουδισμός: hfum
Φέρμιο: frem
κυανό: xyan
σόγια: syof
διανομέας: qrit
απεργοσπάστης: txak
επεξεργαστή: ples
abessive-περίπτωση: bvak
adessive-περίπτωση: dvik
να-περίπτωση: kxak
agentive-περίπτωση: dvek
ραδερφόρντιο: hr6m
αντίσωμα: txip
ως-πολύ-ως: hjos
μέσο-σκανδάλη: hg6t
ηθοποιός-ρόλος: xram
αιθιδίου: txim
κοινός-γένος: hk6n
συνοδός: kl6n
κνήκου: kxam
φράγκιο: fyam
έρβιο: ry6m
παθητικός-φωνή: xyis
αστατίου: hqit
μάσημα-κόμμι: hqam
αστέρι-γένος: hqin
παραπομπή-μορφή: ht6m
κούριο: jrim
κόμικς: kxis
αχρωματοψία: hqon
euler's-αριθμός: hl6m
ματιά-στο: kxas
διάβαση-πεζών: pwok
πεδίο-μάχης: txat
αυτοκινητιστής: vrit
βραχυκύκλωμα: txok
προφορικός-ουσιαστικό: hvis
κραυγή-έξω: hk6t
στατιστικώς: xyit
γιαούρτι: txot
ξένο: hs6n
υπνωτίζω: hxif
παίρνω-μακριά-από: hxaf
Ρήτρα---ουρά: hxok
απευθείας-αντικείμενο: dwot
παντοπωλείο-κατάστημα: kxun
συνίσταμαι-του: hm6t
ergative-περίπτωση: gvik
στη-γλώσσα: txic
από-προσωπική-πείρα: pxam
τοπική-πτώση-περίπτωση: hqok
πισίνα: slup
επιρρηματικός-περίπτωση: vlak
sightsee: hqas
τηλεόραση-σειρά: ht6s
τελικός-σωματίδιο: xlik
evitative-περίπτωση: hvek
αναμόρφωση: xlat
οπισθοδρόμηση: xris
φραγμός-του-διαμερίσματα: kxot
ίχνη-επάνω: hxup
αστυνομία-αξιωματικός: ps6s
Ορκίζομαι-στο: vran
ερευνητή: qrat
ρήνιο: ryem
αεροζόλ: xres
κτητικός-περίπτωση: kxik
ονομαστικοποίησης: mlec
κατεχόμενος-περίπτωση: dzak
υπερφόρτιση: pxak
βοηθητικός-ρήμα: xyik
πρωταρχικός-αντικείμενο: mlut
υπολογιστή--virus: prus
επιχειρηματίας: hqis
ένα-άνθρωποι: hqen
antessive-περίπτωση: ts6k
πρωθυπουργός: pxis
λουτήτιο: lyum
ευρώπιο: rwum
emote: xrot
παραδοσιακή-μουσική: zyik
ποιητής: vwit
ταχυδρομείο: pxot
τάχα: hvas
έμψυχος-γένος: hven
subessive-περίπτωση: bvik
γκάζι: glep
πόλωση: pr6t
όχημα-γένος: vlin
ορυκτό-γένος: xrin
ρήμα---κατάληξη: hvif
παθιασμένος: pc6n
σαμάριο: sr6m
διευκόλυνσης: hs6t
φανταστική-μονάδα: xyin
ταχύτητα-του-φωτός: kxac
πολεμική-αεροπορία: hxes
κατανόηση-χαρά: pfec
κρίσιμο-σημείο: qyit
ΠΛΗΡΗΣ-ΑΠΑΣΧΟΛΗΣΗ: hxem
άφνιο: xyam
αναχαίτηση: hn6s
αλλαγή-του-συμβάν: qrin
όλμιο: xlim
διαφορετικός-συμβάν: hf6t
σύμπαν-γένος: hvip
τοποθεσία-γένος: kxen
πραγματικός-μηχανή: hvim
έρευνα-γένος: txen
καλλιτεχνικός-γένος: ts6n
crastinal-σε-υπερένταση: sl6t
περίληψη-γένος: srep
exocentric-περίπτωση: zrek
μεταβατικός-ρήμα: txif
μόρφημα: tfom
σωβινιστής: dvis
το-παρελθόν-τελειοποιητικός: xrat
επαγγελματικός: hy6n
έμμεσος-ομιλία: tyoc
δεύτερος-γλώσσα: draf
να-είναι: txis
νεκροταφείο-βάρδια: vrak
συλλογικός-ουσιαστικό: hxos
absolutive-περίπτωση: bvuk
ασθενής-σκανδάλη: tr6t
εαυτός-εμπιστοσύνη: hs6s
περιττώματα: hzos
αυτοπαθής-φωνή: hf6s
απρόσωπος-ρήμα: hxek
σιμπόργκιο: br6m
λευκό-κενό: hxep
τροπικός-περίπτωση: dlok
άψυχος-γένος: hj6n
αιτιολογικός: qran
propositive-διάθεση: psom
ηλεκτρικός-ρεύμα: tr6n
συνειρμική-περίπτωση: nwok
υπερθετικός-περίπτωση: tluk
πολύ-πολύ: xyut
πλανητικός-γένος: pxen
κινουμένων-σχεδίων-κινούμενα σχέδια: nwuk
αμοιβαίος-φωνή: vrik
νομοθετώ: hqaf
στο-ελάχιστα: vlas
γραμματικές-περίπτωση: qrak
μεταχειριζόμενος: pxut
πυρήνας-benefactive: kfef
τερματοφύλακας: hgop
:-exkept-Four: kcef
παρονομαστής: dvan
else-if: lyek
πλαγίως: hx6s
κάθε---άλλο: dles
διαδοχικός-ρήτρα: lyuk
φθορά--out: hxun
σορτς: ht6k
δυσπρόσιο: prom
σύντομα-μελλοντικός-σε υπερένταση: rwec
σι-μονάδες: vyin
κρυπτόν: kxon
μεντελέβιο: dlem
applicative-φωνή: hp6s
antipassive-φωνή: tsef
continuative-άποψη: ht6p
ακτινοβολία-ασθενείας: hr6k
necessitative-διάθεση: hn6t
μονόκλινο-δράση-ρήμα: hqek
αυτοκινηταμαξών: xlak
υπερθετικός-βαθμός: tlup
υπαρξιακός-ρήτρα: hs6k
καλιφόρνιο: kf6n
παρόν-μετοχή: vrat
φωτεινός-ένταση: hc6t
singulative-αριθμός: slus
γραμματικές--αντικείμενο: hy6t
παθητικός-μετοχή: vris
υπερβολικό-διάρκεια: kxic
υπερκρίσιμο-ρευστό: sr6t
ποσό-του-ουσία: ks6t
postpositional-περίπτωση: pxok
αιρετός-quantifier: lwif
γαδολίνιο: dl6n
epenthetic-μόρφημα: hp6m
άνευ-αντικειμένου-με quantifier: nwif
αϊνστάνιο: ny6n
τεχνητός-γλώσσα: txac
συνδετικός-σωματίδιο: qrik
μακρινός-μελλοντικός-σε υπερένταση: twec
frequentative-άποψη: hfep
διανεμητικές-αντωνυμία: bvin
Ο-μιλία-συμφωνία: hk6m
φαλακρός: blos
προάστιο: syum
παγκόσμιος-quantifier: vlit
ηλεκτρονικός-υπολογιστής-προγραμματισμός: mr6m
τηλεόραση-πρόγραμμα: tr6m
floating-point---αριθμός: hvun
υπαρξιακός-quantifier: tl6t
ο-ημέρα-μετά αύριο: dwek
εναλλακτική-λύση-quantifier: lw6t
ευέξαπτο: hdup
το-παρελθόν-παθητικός μετοχή: hp6t
ο-ημέρα-πριν εχθές: txet
τοπική-πτώση-κατευθυντήριος περίπτωση: tc6k
αντιπαραδειγμάτων-υποθετικός: ht6c
