வினையெச்சம்: hnit
வெளிர்: psec
பூங்காவில்: zwac
மையம்: lyok
அளிப்பதை: nwoc
யோகா: hjoc
புத்தகக்-கடைகளில்: byun
சிகிச்சை: grap
தேசியவாத: zlis
சிரச்சேதம்: zlet
ஆமாம்: swec
சிக்கல்: byam
ஜாஸ்: dzas
டங்ஸ்டன்: tsof
பயங்கரவாத: gwis
சிறு-சிறு-துளிகளாக விடு: droc
வளர்சிதை: tlem
ஜீவனாம்சம்: lyaf
வார-இறுதியில்: hfom
துலிப்: gzim
தடுப்பூசி: byap
மோட்டார்-சைக்கிள்: tyok
மந்திரம்: dyot
செமஸ்டர்: myes
ஹெராயின்: gwon
அடைவு: flap
கத்தோடு: kfoc
சித்தாந்தம்: dlec
பார்க்கிங்: prek
தீட்டா: fret
உயர்ந்த-எண்ண-நிலையிலிருந்து ஏற்படும் திடீர் வீழ்ச்சி: hxis
செலினியம்: clem
சைக்கிள்-ஓட்டுதல்: blek
புறணி: pros
சமான: swaf
தற்போதைய-சம்பந்தம்-மார்க்கர்: hxak
விமான-நிலைய: cwoc
வெட்டி-எரி: gyet
கூடைப்பந்து: bwet
மோசடிக்காரன்: mwip
கரப்பான்-பூச்சி: tlek
குரோமியம்: hgom
லிட்டர்: hl6t
இருப்பினும்: nwec
ஹார்மோன்: cwom
குற்றமுள்ள: tluc
துளைத்து: prec
ஆன்ம-வாதம்: nyom
கோணம்: cloc
பெண்ணிய: hfes
மூலமொத்தச்: kcop
யூரோ: dros
ஜின்ஸெங்: hjes
வழிமுறை: hlof
லேசர்: lwes
மருந்துக்கடை: dlot
மில்லிமீட்டர்: mlem
சாதகமான: flek
நேர்முனை: nlok
நுட்பத்தையும்: hzus
பகுதி-நேரம்: prem
உணர்திறன்: nyec
ஆர்ப்பாட்டக்காரர்: drom
ஹீலியம்: clum
இருமொழி: dzic
சுருக்க: hqim
முதலெழுத்தியல்: nl6m
தொழிற்-பெயர்-போல் தோன்றும் பெயர்ச் சொல்: gros
பிளாஸ்மா: psem
குரோமோசோம்: rwom
வரிசையெண்ணுக்குரியவை: rwok
கிலோமீட்டர்: klum
தொலைநகல்: tfes
மரபியல்: nwek
freckle: frek
ஸ்க்ரூடிரைவர்: dres
ப்ரோக்கோலி: blok
preterite: xrit
வைட்டமின்: tyem
கேட்மியம்: kyem
குண்டுதாரி: bwoc
வரைகலை: gjik
டைட்டானியம்: dyim
நினைச்சபோதெல்லாம்-கரைக்க: clec
லேம்டாவுடன்: lwem
காதலி: pcem
உறவில்-ஈடுபடு: kyuk
ஓய்வெடுத்து: tlus
பச்சாத்தாபம்: mlif
போரான்: bres
ஹெலிகாப்டர்: cwet
டெலூரியம்: tlum
காலக்கெடுவை: jyic
வரிசைப்படுத்து: gwic
சென்டிமீட்டர்: hfem
மாலிப்டினம்: mlom
லித்தியம்: tfim
மல்டிமீடியா: myum
மேம்படுத்தல்: dyet
கலோரி: clom
ரோபோ: ryoc
வீட்டுவேலை: groc
மடக்கை: grom
மாண்டிஸ்: gzas
instal: nwut
அமினோ: myoc
கிளிஃப்: glif
aorist: pyos
சூழலியல்: plec
உலகியல்-அறிவு: flok
மரிஜுவானா: bjam
மைக்ரோ: mrom
கிலோகிராம்: lwom
overeat: jrot
யூகிக்கக்கூடிய: dzik
பீஸ்ஸா: zyas
ஒட்டுக்கேட்க: zris
மொழியியல்: bwis
ஹேர்கட்: braf
இரிடியம்: ryom
இனவாதம்: gwim
உகந்த: gyim
தொழில்மயமாக்கல்: drif
தலைமையிட: krup
சீரியம்: zrim
ஒத்த: nrum
தனித்-தனியாக,-பகுதி பகுதிகளாகப் பிரிக்க உதவுகிற வழக்கு: pxik
கேசட்: ksep
மன-உறுதியால்: blot
பரிமாண: dzen
அளவுரு: rwet
ஒருங்கிணைக்க: nrop
அதிகரிக்க: dzim
கருத்தரங்கு: mwec
டிஸ்கோ: dyok
நியான்: nyok
ஆஸ்மியம்: hzom
எபிபானி: hp6n
திருட்டு: lyap
குளறுபடியாகவும்: rwek
அணு-உலை: fyet
ஆர்கனோ: ryop
புளூட்டோனியத்தை: pwum
திகழியம்: tyom
மேம்பாடு: hxat
பயனர்பெயர்: mrum
முதுகலை: zrot
வலதுசாரி: dwaf
ஆர்கான்: jros
தாழ்வு-மனப்பான்மைதான்: hxot
பழக: sluk
உலகமயமாக்கல்: bluc
அலைநீளம்: hnef
குறியாக்கம்: kfom
மறுசுழற்சிக்கு: psoc
மறுதுவக்க: nrek
ஹெபடைடிஸ்: pyes
துருத்தியிருத்தல்: fros
கீமோதெரபி: myep
மட்டு: mwok
புரோட்டான்: zwot
வட்டை: dwet
மில்லிகிராம்: mlum
பிக்சல்: psep
டாண்டாலம்: twem
கரைபொருளின்: hjot
இனப்படுகொலை: nyos
வேட்டையாடும்: rwes
காலியம்: glem
ஸிர்கோனியம்: hzum
துணிகாரணி: txin
தொகையற்ற: nlem
பூச்சிக்கொல்லி: pyif
பெரிலியம்: brem
நியூரான்: nrus
பயனிலை: pxit
underpants: tlif
காரணியாலான: kref
நியூட்ரான்: zrut
நியோபியம்: nwom
ஜெர்மானியம்: hjem
உலோகத்-தோற்ற-வடிவமுடைய: tlop
வைத்து-மீது: dlap
prolative-வழக்கு: hl6k
பல்லுயிர்: jwic
ஜாய்ஸ்டிக்: jyok
ஆண்டிபயாடிக்: twok
அத்தினியம்: gjim
விண்வெளி: srof
வேற்று-கிரக: tyes
கிறுக்கர்: hwup
மாரத்தான்: mrof
கிடைக்கும்-இட்டெர்பியம்: zwim
மன-இறுக்கம்: tyif
அயனியாக்க: nlof
ரேடான்: cwos
nerium: nrem
நோய்த்தொற்றியல்: pwip
முதுமை: lyuc
முகாம்: kyep
கோடிட்ட: drip
இண்டியம்: nyum
veridical: hvik
வலைத்தளத்தில்: bwes
குரானை: kwek
flatware: fwet
வானளாவிய-ரூட்: tfec
லாரன்ஷியம்: lyem
சமூக-உரிமைகள்: glip
மொபைல்-போன்: mlof
முடங்கி: twoc
பாகையம்: prum
கதிர்வீச்சு: hd6n
சார்ந்தது-மீது: pxin
தோரியம்-அணுவின்: hxim
நீல--Jean: bjun
வீட்டில்-ஆலை: hxas
தனித்தனியாக: dvit
ஓட்டம்-தற்போதைய: lwuk
மூன்று-புள்ளி: ht6t
மனித-உடல்: hn6n
இயற்பியல்: bzik
சில்லறை-கடை: hxan
சீசியம்: hs6m
நீண்ட-முன்பு: hqan
விரிதாள்: hxet
அலகு--ன்--வெகுஜன: hn6m
தொகுக்க: ml6n
பைனரி-மதிப்பு: vrim
மனித-இருப்பது: nyus
மூலம்-வழிமுறையாக-என்ற: hvan
Pront-op: pxat
பிரசியோடைமியம்: pyom
அட்டை: kxat
வரையறுக்கப்பட்ட-வினை: hqik
விசாரணை-எண்: hr6n
சார்பு-தண்டனை: hr6t
விமர்சகர்: hk6k
பேக்கேஜிங்: pxas
நிலையற்ற: pxan
மணிக்கு-மிகவும்: txas
விளக்கியை: drop
இரட்டியம்: nyem
நட்பு: hvit
படிக்க-மட்டுமே: xyak
founds: xwan
gnomic-மனநிலை: kxin
ஒலியன்: hxom
பகுத்தறியும்தன்மை: xlit
பேச்சொலி: xlin
சாப்பாட்டு-அறை: hxac
வாழ்க்கை-அறை: hxic
மையப்படுத்திய-வழக்கு: zrik
முன்-hodiernal: hx6n
நோயாளி-வழக்கு: hqak
சாய்ந்த-வழக்கு: bwok
கிராமப்புற-பகுதியில்: hqat
உள்-அழைப்பு: hr6s
நடுத்தர-குரல்: dyos
meitnerium: hm6m
தபால்-எடுத்துவருபவர்: hvak
noncommittal: kxit
பங்கு-சந்தை: xrak
அடையாளம்-காணக்கூடிய: hxap
இலக்கு-தூண்டுதல்: krof
ஒரு-நொடி: hxen
lative-வழக்கு: dvak
ரேஷன்: hr6c
அல்லாத-மனித: hg6n
வாழ்க்கை-விஷயம்: hvic
மிகவும்-சிறிய: hxut
திரையரங்கம்: hvin
hassium: xyim
attenuative: ty6t
multal-எண்: ml6m
பால்-போன்ற-வழி: txam
நெருப்பியம்: nwem
கோஸ்ட்ரைட்டர்: txik
டிரான்ஸ்-எண்: ts6s
முட்டாளாக்க-சுற்றி: hqun
அமெரிகியம்: myem
காலை-மகிமை: txan
தீயணைக்கும்: xran
பெர்கெலியம்: blem
விண்மீன்-பாலினம்: kxan
nobelium: blum
பை-பை: hvac
புத்த: hfum
பெர்மியம்: frem
சியான்: xyan
சோயா: syof
விநியோகஸ்தராக: qrit
வேலைநிறுத்தத்தை: txak
செயலி: ples
ஜப்பானி-வழக்கு: bvak
adessive-வழக்கு: dvik
செய்ய-வழக்கு: kxak
எழுவாய்-வழக்கு: dvek
ருத்தேனியம்: hr6m
ஆன்டிபாடி: txip
என-மிகவும்-என: hjos
முகவர்-தூண்டுதல்: hg6t
நடிகர்-பங்கு: xram
ethidium: txim
பொதுவான-பாலினம்: hk6n
accompanier: kl6n
செந்தூரகம்: kxam
வெடியிதள்: fyam
ஏபியம்: ry6m
செயலற்ற-குரல்: xyis
astatine: hqit
மெல்லும்-பசை: hqam
நட்சத்திர-பாலினம்: hqin
சான்று-வடிவம்: ht6m
கூரியம்: jrim
காமிக்-துண்டு: kxis
நிறக்குருடு: hqon
euler's---எண்: hl6m
பார்க்க-மணிக்கு: kxas
கிராஸ்வாக்: pwok
போர்க்களத்தில்: txat
ஓட்டிய: vrit
குறைந்த-மின்னழுத்தம்: txok
வாய்மொழி-பெயர்ச்சொல்: hvis
அழுகை-வெளியே: hk6t
புள்ளிவிவர: xyit
தயிர்: txot
செனான்: hs6n
ஹிப்னாடிசம்: hxif
எடுத்து-ஆஃப்: hxaf
உட்கூறு-வால்: hxok
நேரடி-பொருள்: dwot
மளிகை-கடை: kxun
கொண்டிருக்கும்-என்ற: hm6t
ergative-வழக்கு: gvik
உள்ள-மொழி: txic
முதல்-கை: pxam
தேடுக-வழக்கு: hqok
நீச்சல்-குளம்: slup
வினைதழுவிய-வழக்கு: vlak
sightsee: hqas
தொலைக்காட்சி-தொகுப்பு: ht6s
இறுதி-துகள்: xlik
evitative-வழக்கு: hvek
புனர்வாழ்வு: xlat
பின்னடைவு: xris
தொகுதி-என்ற-மனை: kxot
எழுப்ப-வரை: hxup
காவல்-அதிகாரி: ps6s
சத்தியம்---இல்: vran
பேட்டியாளர்: qrat
ரினியம்: ryem
ஏரோசால்: xres
சொந்தம்-வழக்கு: kxik
nominalization: mlec
கொண்டிருந்தன-வழக்கு: dzak
ஏற்றி-கூறு: pxak
துணை-வினை: xyik
முதன்மை-பொருள்: mlut
கணினி-வைரஸ்: prus
வணிக-நபர்: hqis
ஒரு-மக்கள்: hqen
antessive-வழக்கு: ts6k
பிரதமர்: pxis
மிளிரியம்: lyum
ஐரோப்பியம்: rwum
உணர்ச்சியைக்: xrot
நாட்டுப்புற-இசை: zyik
கவிஞர்: vwit
தபால்-நிலயம்: pxot
கூறப்படும்: hvas
உயிருள்ள-பாலினம்: hven
subessive-வழக்கு: bvik
எரிவாயு-மிதி: glep
முனைவுத்தன்மையுடன்: pr6t
வாகன-பாலினம்: vlin
கனிம-பாலினம்: xrin
வினை-பின்னொட்டு: hvif
உணர்ச்சி: pc6n
சமாரியம்: sr6m
அனுசரணையாளர்: hs6t
கற்பனை-அலகு: xyin
வேகம்--வெளிச்சத்தில்-: kxac
விமானப்படை: hxes
அதேமாதிரி-மகிழ்ச்சி: pfec
முக்கியமான-புள்ளி: qyit
முழு-நேரம்: hxem
ஆஃப்னியம்: xyam
தடைபடுதல்: hn6s
மாற்றம்-என்ற-நிகழ்வு: qrin
ஒலுமியம்: xlim
வெவ்வேறு-நிகழ்வு: hf6t
பிரபஞ்சம்-பாலினம்: hvip
வட்டாரத்தின்-பாலினம்: kxen
மெய்நிகர்-இயந்திரம்: hvim
ஆராய்ச்சி-பாலினம்: txen
கலை-பாலினம்: ts6n
கிரஸ்டினல்-பதட்டமான: sl6t
சுருக்கம்-பாலினம்: srep
புறமையமான-வழக்கு: zrek
டிரான்சிடிவ்-வினை: txif
கட்டுருபன்: tfom
பேரினவாத: dvis
கடந்த-குறைவின்மை: xrat
தொழிற்கல்வி: hy6n
மறைமுக-பேச்சு: tyoc
இரண்டாவது-மொழி: draf
செய்ய-இருக்கும்: txis
இடுகாட்டில்-மாற்றம்: vrak
கூட்டு-பெயர்ச்சொல்: hxos
absolutive-வழக்கு: bvuk
நோயாளி-தூண்டுதல்: tr6t
சுய-நம்பிக்கை: hs6s
மலம்: hzos
பின்விளைவுள்ளதுமான-குரல்: hf6s
சார்பற்றதன்மை-வினை: hxek
seaborgium: br6m
வெள்ளை-விண்வெளி: hxep
மாதிரி-வழக்கு: dlok
உயிரற்ற-பாலினம்: hj6n
நோய்க்காரணி: qran
propositive-மனநிலை: psom
மின்சார-தற்போதைய: tr6n
துணை-வழக்கு: nwok
உயர்ந்த-வழக்கு: tluk
மிகவும்-மிகவும்: xyut
கிரக-பாலினம்: pxen
அனிமேஷன்-கார்ட்டூன்: nwuk
தலைகீழ்-குரல்: vrik
சட்டம்-இயற்ற: hqaf
மணிக்கு-குறைந்தது: vlas
இலக்கண-வழக்கு: qrak
பயனர்: pxut
கோர்-benefactive: kfef
கோல்கீப்பர்: hgop
:-Eccept-War: kcef
வகுக்கும்: dvan
வேறு-என்றால்,: lyek
பக்கவாட்டாக: hx6s
ஒருவருக்கொருவர்: dles
அடுத்தடுத்த-உட்கூறு: lyuk
அணிய--அவுட்: hxun
குறும்படங்கள்: ht6k
டிஸ்ப்ரோசியம்: prom
விரைவில்-எதிர்கால-பதட்டமான: rwec
Si-அலகுகள்: vyin
கிரிப்டான்: kxon
மெண்டலேவியம்: dlem
applicative-குரல்: hp6s
antipassive-குரல்: tsef
continuative-அம்சம்: ht6p
கதிர்வீச்சு-சுகவீனம்: hr6k
necessitative-மனநிலை: hn6t
ஒற்றை-நடவடிக்கை-வினை: hqek
railcar: xlak
உயர்ந்த-பட்டம்: tlup
இருத்தலியல்-உட்கூறு: hs6k
கலிஃபோர்னியம்: kf6n
தற்போதைய-பெயரெச்சம்: vrat
ஒளிரும்-தீவிரம்: hc6t
singulative-எண்: slus
இலக்கண--பொருள்: hy6t
செயலற்ற-பெயரெச்சம்: vris
அதிகப்படியான-காலம்: kxic
உய்ய-திரவ: sr6t
அளவு-என்ற-பொருள்: ks6t
postpositional-வழக்கு: pxok
தேர்தல்-அளவீட்டுருவிற்கு: lwif
கடோலினியம்: dl6n
epenthetic-கட்டுருபன்: hp6m
மறுக்கிற-அளவீட்டுருவிற்கு: nwif
ஐன்ஸ்டைனியம்: ny6n
செயற்கை-மொழி: txac
இணைப்பு-துகள்: qrik
தொலை-எதிர்கால-பதட்டமான: twec
frequentative-அம்சம்: hfep
பங்கீட்டு-சுட்டுப்பெயர்: bvin
allocution-ஒப்பந்தம்: hk6m
வழுக்கை: blos
புறநகர்: syum
உலகளாவிய-அளவீட்டுருவிற்கு: vlit
கணினி-நிரலாக்க: mr6m
தொலைக்காட்சி-திட்டம்: tr6m
மிதவை-புள்ளி-எண்: hvun
இருத்தலியல்-அளவீட்டுருவிற்கு: tl6t
தி-நாள்-பிறகு நாளை: dwek
மாற்று-அளவீட்டுருவிற்கு: lw6t
கெட்ட-மனமுடைய: hdup
கடந்த-செயலற்ற-பெயரெச்சம்: hp6t
தி-நாள்-முன் நேற்று: txet
தேடுக-திசை-வழக்கு: tc6k
மாற்றால-நிபந்தனை: ht6c
