abako                         abacus
kredi                         believe, deem
kredi je                      believe in
kredinda                      plausible
kreditkarto                   credit card
kredito                       credit
kredo                         belief
krei                          create
kreitajxo                     creature
kreito                        creature
kremacii                      cremate
kremacio                      cremation
kremajxo                      cream
Kremlo                        Kremlin
kremo                         cream
kreno                         horse-radish, horseradish
kreola                        Creole
krepuska                      dim
krepusko                      dusk, twilight
kreskado                      growth
kreskajxbarilo                hedge
kreskajxo                     plant
kreski                        grow
kreski per sxlimo             silt up
kresko                        growth
kresto                        mountain ridge
krestomatio                   chrestomathy
Kretaceo                      Cretaceous
kretano                       Cretan
Kreto                         Crete
krevajxo                      burst, crack, flaw
krevi                         burst
krevinta                      cracked
krevo                         burst, crack
Krianlariko                   Crianlarich
kribri                        sift
kribrilo                      sieve
kriegi                        yell
kriego                        scream
krifo                         claw, talon
krii                          cry out, scream, shout
kriko                         jack
krima                         criminal
Krimeo                        Crimea
kriminala kodo                penal law
kriminala legxo               criminal law
krimo                         crime
krimulo                       criminal
krio                          cry, shout
kripla                        crippled, infirm
kriptono                      kriptono
kristala                      crystal
kristalo                      crystal
kristana                      Christian
kristana erao                 Christian Era
kristaneco                    Christianity
kristanigxi                   become a Christian
kristanismo                   Christianity
kristano                      Christian
Kristnaska Festo              Christmas, Christmas feast
Kristnaska Viro               Father Christmas
kristnaskarbo                 Christmas tree, Christmas-tree
Kristnasko                    Christmas, Yule
Kristo                        Christ
Krisxno                       Krishna
kritikanto                    judge
kritiki                       criticize
kritiko                       criticism
kriza                         critical
krizo                         crisis, depression, emergency
kroata                        Croatian
Kroatio                       Croatia
kroato                        Croat
Kroatujo                      Croatia
krocxi                        hook
krocxilo                      hook
krokodili                     crocodile
krokodilo                     crocodile
krokosmio                     montbretia
krokuso                       crocus
krom                          apart from, besides, except, except for
krom se                       unless
krom tio                      besides, in addition, moreover
kroma                         accidental, additional
krome                         besides, in addition, moreover
Kromero                       Cromer
kromnomo                      byname, nickname, sobriquet
kromo                         chromium
kromprodukto                  waste product
kromtubo                      spare tire, spare tyre
kromvirino                    concubine
kronado                       coronation
kroni                         crown
kronikisto                    chronicler, historian
kroniko                       chronicle
Krono                         Cronus
krotalo                       rattlesnake
krozi                         cruise
kruci                         cross
krucifikso                    crucifix
krucmarki                     check off, mark with a cross, put a cross against, tick off
kruco                         cross
krucosigni                    make the sign of the cross
krucumi                       crucify
krucvortenigmo                crossword puzzle
krucxo                        jug, pitcher
kruda                         crude, raw, rough
kruda petrolo                 crude oil
kruda skizo                   adumbration, shadow
krudlansxtofa                 baize
krudlansxtofo                 baize
kruela                        cruel
kruelega                      horrible
kruro                         leg, paw
krurrompo                     fracture of the leg
krurvindo                     puttee
kruta                         abrupt, steep
krutajxo                      precipice
kruteco                       steepness
kruzero                       cruzeiro
ksenono                       xenon
ksera                         xerographic
ksero                         xerography
kserografia                   xerographic
kserografio                   xerography
kserokopio                    xerographic copy
kuba                          Cuban
kubano                        Cuban
kube                          in the Cuban way
Kubo                          Cuba
kubutlibereco                 elbow-room
kubuto                        elbow
kudrado                       needlework
kudrajxo                      needlework
kudrero                       stitch
kudri                         sew
kudrilarkorbo                 sewing-basket, work-basket
kudrilaro                     sewing-things
kudrilarujo                   sewing-box
kudrilo                       needle
kudristino                    needlewoman, seamstress
kudrofadeno                   sewing-thread
kudrokurso                    sewing-class
kudromasxino                  sewing-machine
kufo                          bonnet, cap
kuglo                         bullet
kuirejo                       kitchen
kuirejstablo                  dresser
kuiri                         cook
kuirigxi                      cook
kuiristino                    cook, female cook
kuiristo                      cook, male cook
kuirita                       cooked
kuirpoto                      cooking pot
kukbakejo                     confectionery
kukbakisto                    confectioner
kukejo                        confectioner's, confectioner's shop
kuketo                        cupcake
kuketujo                      biscuit tin
kuko                          cake
kukolo                        cuckoo
kukumeto                      gherkin
kukumo                        cucumber
kukurbo                       gourd, pumpkin, squash
kulercxerpi                   dish up
kulerego                      spoon, large spoon
kulero                        spoon
kuliso                        flat
kulmino                       acme
kulmo                         blade, stalk
kulo                          gnat
kuloto                        short pants, shorts
kulpa                         guilty
kulpiga                       accusatory
kulpigi                       accuse, blame
kulpigi pri                   accuse of, charge with, impeach of, indict for, tax with
kulpigito                     accused, defendant
kulpigo                       accusation, charge, complaint, indictment
kulpiko                       gnat-bite, midge-bite
kulpo                         blame, fault, guilt
kulpulo                       culprit
kulsxirmilo                   mosquito net
kulti                         worship
kultivado                     cultivation, tillage
kultivi                       cultivate
kulto                         cult
kulturejo                     plantation
kulturi                       cultivate, grow
kulturkampo                   farmland
kulturo                       culture
kulvualo                      mosquito net
kun-                          co-, fellow
kun rezervo pri               bar, barring, except for, subject to, without prejudice
kunbekigxi                    squabble, wrangle
kune                          together
kune kun                      together with
kunfandajxo                   alloy
kuniga krampo                 brace
kunigi                        join, unite
kunigi node                   tie on
kunigxi                       associate, come together, join, pool
kunigxo                       joining, junction
kuniklo                       rabbit
kuniri                        go with
kunkudrajxo                   seam
kunkudri                      sew together
kunkudro                      seam
kunkulpa                      accessory
kunkulpulo                    abetter, accessory, accomplice
kunlabori                     cooperate, co-operate
kunligi                       connect, join
kunligo                       connection
kunmeti                       put together
kunmunti                      assemble
kunnaskita                    congentital, inborn, inbred, innate, native
kunordigi                     coordinate, co-ordinate
kunporti                      bring along, take along
kunrespondi                   correspond
kunrespondo                   connection
kunsento                      sympathy
kunsidantaro                  assembly
kunsido                       meeting
kuntirigxi                    cower, shrink
kunularo                      company
kunulo                        companion
kunveni                       assemble, congregate, gather, meet
kunvenigi                     take along
kunveno                       assemblage, gathering, meeting
kunvivi                       huddle
kunvoki                       convoke
kunvoko                       parade, roll-call
kuo                           Q
kupeo                         compartment, coup@
kupli                         couple
kupolo                        cupola, dome
kupono                        coupon
kupra                         copper
kupro                         copper
kuraca                        medical
kuraca gimnastiko             physiotherapy
kuracado                      treatment
kuraci                        care for, cure, treat
kuracilo                      drug, medicine, pharmaceutical
kuracisto                     doctor, physician
kuragxa                       brave, courageous, valiant
kuragxi                       be bold, dare
kuragxi batali kontraux       dare to fight, stand up to
kuragxi entrepreni            dare, venture
kuragxigi                     encourage
kuragxigo                     encouragement
kuragxo                       courage
Kuraso                        Cura@ao
kurataki                      assault, storm
kuratako                      assault, storming
kurba                         bent, curved
kurbigi                       bend
kurbigxadi                    twist
kurbigxi                      bend
kurbo                         bend, curve
kurda                         Kurdish
Kurdio                        Kurdistan
kurdo                         Kurd
Kurdujo                       Kurdistan
kuregi                        race, run
kuregisto                     runner
kurejo                        course, race-course, track, running track
kurento                       current
kuri                          run
kuriero                       courier
Kuriloj                       Kurile Islands
kurioza                       curious, interesting, quaint
kurso                         class, course
kurta                         short
kurteno                       curtain
kurtigi                       abbreviate, shorten
kurzo                         exchange rate, rate of exchange
kuseno                        cushion
kusxi                         lie, recline
kusxi supre sur               be on top of, lay on top of
kusxigi                       lay
kusxigxi                      lie down
kutima                        accustomed, customary, used to, usual, wonted
kutime                        ordinarily, usually
kutimi                        accustom, be in the habit of
kutimigxi                     accustom oneself, get used
kutimo                        custom, habit, way
Kuvajto                       Kuwait
kuvo                          tub, vat
kuzino                        cousin
kuzo                          cousin
kvadrata                      square
kvadratita                    checked, chequered
kvadratmejlo                  square mile
kvadrato                      square
kvakera                       Quaker
kvakero                       Quaker
kvalifi                       qualify
kvalifiki                     qualify
kvalifikita                   able
kvalifiko                     ability, qualification
kvalito                       property, quality
kvankam                       though, although
kvanto                        quantity
kvar                          four
kvara                         fourth
kvarangulo                    quadrangle
kvarco                        rock-crystal
kvardek                       forty
kvaronhoro                    quarter of an hour
kvarono                       fourth
kvarope                       by fours
kvartalacxo                   back street, slum
kvartalo                      district, neighbourhood, quarter
kvazaux                       as if, as though, in a way
kvazauxcxasta                 demure
kvazauxdecmora                demure
kvazauxpruda                  demure
kvereli                       quarrel, wrangle
kverelo                       quarrel
kverka                        oak, oaken
kverkejo                      oak-wood
kverko                        oak
kverkoligno                   oak, oak-wood
kvestisto                     mendicant friar
kvieta                        calm, quiet
kviete                        quietly, leisurely
kvieteco                      calmness, quietness
kvietigxi                     abate, subside
kvieto                        calm, quiet, silence
kviettemperamenta             staid
kvin                          five
kvina                         fifth
kvindek                       fifty
kvinono                       fifth
kvita                         even, paid up, paid-up
kvitanci                      receipt
kvitanco                      receipt
kvitigxi                      settle, square up
kvitigxo                      settlement

L

l'                            the
la                            the
la antauxan semajnon          last week
la cia                        yours
la Dipatrino                  Our Lady
la hierauxan nokton           last night
la ilia                       theirs
la lia                        his
la mia                        mine
la nia                        ours
la pasintan nokton            last night
la pasintan semajnon          last week
la plejparto de               most of
la proksiman semajnon         next week
la sama                       the same
la sxia                       hers
la tutan                      all, throughout the
la venontan semajnon          next week
la via                        yours
laboranto                     worker
laboratoria asistanto         laboratory assistent
laboratorio                   laboratory
laborborso                    employment exchange, labor exchange, labour exchange
labordivido                   division of labor, division of labour
laboregi                      work hard
laborejo                      workplace
laborema                      hardworking
laborenskribo                 tender
laboreto                      trifle
labori                        work
laborilo                      tool
laborintensiva                labor-intensive, labour-intensive
laborista klaso               working class, working classes
laborista movado              labor movement, labour movement
laboristino                   female laborer, femal labourer, femal worker
laboristo                     hand, laborer, labourer, operative, worker, working man, workman
laboristoj                    laborers, labourers, workers, workmen
laborkapitalo                 working capital
laborkondicxoj                terms of employment
laborkonflikto                labor dispute, labour dispute
labormaltauxga                disabled, unfit for work
labormerkato                  labor market, labour market
labornekapabla                disabled, unfit for work
laboro                        job, work
laborposteno                  job
laborpreta                    in working order
laborulo                      hand, laborer, labourer, operative, worker, working man, worker
laca                          tired
lacega                        exhausted, tired out, worn out
lacegigi                      fag out, jade, overdrive, override
lacerto                       lizard
lacigxi                       get tired
lacxo                         shoe-lace
lada                          sheet metal, tin, tin plate
ladbotelo                     flask
lado                          sheet metal, tin, tin plate
Ladono                        Ladon
ladskatolo                    can, tin, tin can
lafa                          lava
lafo                          lava
lageto                        pond
lago                          lake, loch
lagro                         bearing
laguno                        lagoon
laika                         lay
laiko                         layman
Lakadivoj                     Laccadives
lakeo                         lackey
laki                          lacquer, varnish
lako                          lacquer
laksigilo                     laxative
lakso                         diarrhoea
laktajxfabriko                dairy
lakto                         milk
laktuko                       lettuce
laktumo                       roe
lama                          lame
lambastono                    crutch
lamenti                       lament, wail
lami                          limp
lamio                         dead-nettle
lampa petrolo                 kerosene
lampo                         lamp
lampsxaltilo                  light-switch
lana                          wool
lanco                         lance, spear
lancxi                        launch
landano                       compatriot
landinterno                   hinterland
landlimo                      border
lando                         country, land
landstrato                    highway
lanfadeno                     worsted
lango                         tongue
langusto                      lobster
lano                          wool
lanta                         slow
lanterno                      lantern
lanugo                        down, fluff
laosa                         Laotian
laosa lingvo                  Lao, Laotian language
laosano                       Laotian
Laoso                         Laos
lapo                          burr
lapona                        Lapp, Lappish
laponino                      Lappish woman, Lapponian woman
Laponio                       Lapland
lapono                        Laplander, Lapp
Laponujo                      Lapland
lapsano                       nipplewort
Laptevmaro                    Sea of Laptev
lardo                         bacon
largxa                        broad
largxe                        widely
largxeco                      width
largxo                        width
lariko                        larch
laringito                     laryngitis
laringo                       larynx
larmi                         shed tears, weep
larmo                         tear
Larno                         Larne
larvo                         grub, larva
lasi                          allow, leave, let, release
lasta                         last
lastatempe                    lately, recently
latekso                       latex
Laterono                      Latheron
latina                        Latin
latinida                      Romance
Latinida Ameriko              Latin America
latino                        Latin
latkurteno                    Venetian blind
lato                          lath, slat
latrino                       latrine
latuna                        brass
latuno                        brass
latva                         Latvian, Lettish
latvino                       Latvian woman
Latvio                        Latvia
latvo                         Latvian, Lett
Latvujo                       Latvia
laux                          according to, along, by
laux deziro                   at choice, at pleasure, at will
laux insisto de               at the instance of
laux la cirkonstancoj         in the circumstances, under the circumstances
laux onidiroj                 it is understood that, it is rumoured that
lauxbo                        arbor
lauxdi                        commend, laud, praise
lauxdinda                     commendable
lauxdire                      allegedly, as is being said
lauxdo                        praise
lauxgrada                     gradual
lauxgrade                     gradually, little by little
lauxlargxe                    crossways
lauxlegenda                   legendary
lauxlegxa                     legal
lauxlitere                    to the letter
lauxlonge                     lengthwise
lauxlonge de                  along
lauxmoda                      fashionable
lauxnominala                  at par
lauxofice                     officially
lauxplacxe                    as one pleases
lauxro                        laurel
lauxsistema                   systematic
lauxta                        loud
lauxte                        loudly
lauxvice                      in turn
lauxvide                      by sight
lauxvole                      as you wish, at will
lauxvorta                     literal
lauxvorte                     verbatim, word-for-word
lavajxpincxilo                clothespeg, clothespin
lavango                       avalanche
lavejo                        washroom
lavendo                       lavender
lavi                          wash
lavi la mangxilaron           wash up
lavistino                     laundress
lavkuvo                       washing-up bowl
lavpurigebla                  washable
lavpurigi la mangxilaron      wash up
lavurso                       raccoon, racoon, washing-bear
lazo                          lasso
lazura                        sky blue
Lazura Bordo                  Riviera, French Riviera
lazuro                        sky blue
Lebanono                      Lebanon
leciono                       lesson
leda                          leather
ledajxoj                      leather goods
Ledao                         Leda
ledo                          leather
legacio                       legation
legajxo                       reading matter
leganto                       reader
legebla                       legible
legenda                       legendary
legendo                       legend
legi                          read
leginda                       worth reading
legio                         legion
legitimi                      legitimize
legitimilo                    I.D., ID
legomo                        vegetable
legxera                       light
legxo                         law
lejdena kondensoro            Leyden jar
Lejdeno                       Leyden
lekanteto                     daisy
lekanto                       marguerite
lekcii                        lecture
lekcio                        lecture
leki                          lick
leksiko                       vocabulary
lektoro                       lector, lecturer
lekumi                        eat, eat cunt
lemingo                       lemming
lenso                         lens
lento                         lentil
lentugo                       freckle
leono                         lion
leontodo                      dandelion
leopardo                      leopard
leporhundo                    greyhound
leporo                        hare
lepro                         leprosy
leprulo                       leper
lernejaj ferioj               school holidays
lernejano                     pupil, scholar
lernejestro                   headmaster, head of a school
lernejo                       school
lerni                         learn
lernigi                       teach
lernita                       acquired, learnt
lernolibro                    textbook
lerta                         clever, dexterous, skillful
lerteco                       expertness, skilfulness, skill, skillfulness
lesivakvo                     lather
lesivejo                      laundry
lesivi                        wash
lesivi vestojn                wash clothes
lesivistino                   laundress
lesivo                        lye
Lesoto                        Lesotho
letargio                      lethargy
leterbloko                    notepad
leterkesto                    letterbox, mailbox
letero                        letter
leterpapero                   writing-paper
leterportisto                 postman
Leto                          Lethe
leuxtenanto                   lieutenant
levanta                       Levantine
levantano                     Levantine
Levanto                       Levant
levi                          lever, lift, raise
levido                        Levite
levigxi                       ascend, get up, go up, lift, rise, arise
levilo                        crow-bar, crowbar
levstango                     crow-bar, crowbar
lezi                          harm
lezo                          harm
li                            he, him
lia                           his
Liaso                         Lias
libana                        Lebanese
libanano                      Lebanese
Libano                        Lebanon
libelo                        dragonfly
libera                        free
liberala                      liberal
libereco                      freedom
liberia                       Liberian
liberianino                   Liberian woman
liberiano                     Liberian
liberigi                      release
liberigi sin de               get rid of
Liberio                       Liberia
libertempo                    spare time, time off, vacation
libervola                     voluntary
libervole                     voluntarily
libia                         Libyan
libianino                     Lybian woman
libiano                       Libyan
Libio                         Libya
libraro                       book collection
librejo                       library
libreto                       booklet
libro                         book
librobutiko                   bookshop, bookstore
librosxranko                  bookcase
librotenado                   book-keeping
librotenisto                  book-keeper
librovendisto                 bookseller
licenco                       licence, license
liceo                         lyceum
licia                         Lycian
licianino                     Lycian woman
liciano                       Lycian
Licio                         Lycia
lidia                         Lydian
lidiano                       Lydian
Lidio                         Lydia
Liegxo                        Li@ge
Liero                         Lyra
lifto                         elevator, lift
ligajxo                       braid, fillet, string, tie
ligamento                     ligament
ligfermi                      ligature, tie, tie up
ligi                          bind, connect, join, tie, tie up
ligilo                        bond, tie
ligna                         wooden
ligna tegajxo                 campshedding, campsheeting, campshot
lignero                       splinter
ligno                         timber, wood
lignogarni                    board, wainscot
lignokarbo                    charcoal
ligo                          connection, league
Ligo de Nacioj                League of Nations
Ligura Maro                   Ligurian Sea
ligustro                      privet
lihxtenstejnano               Liechtensteiner
Lihxtenstejno                 Liechtenstein
likva                         liquid
likva petrolgaso              liquefied petroleum gas, LPG
likvajxo                      liquid
likvida                       liquid
likvidi                       liquidate
likvoro                       liqueur
lilako                        lilac
lilio                         lily
limako                        slug
Limburgo                      Limbourg, Limburg
limdifini                     mark out, trace, trace out
Limeriko                      Limerick
limi                          bound
limiga                        restrictive
limigi                        abridge, confine, limit, restrict
limigita                      confined, limited, restricted
limigo                        limitation, restriction
limo                          boundary, frontier, limit
limonado                      lemonade
limtusxanta                   adjacent
limtusxi                      abut, adjoin, be next to
lin                           him
linagxo                       linen
lingva                        linguistic
lingvistika                   linguistic
lingvisto                     linguist
lingvo                        language, tongue
liniilo                       ruler, straightedge, straight-edge
linio                         line
linko                         lynx
Linkolno                      Lincoln
lino                          flax
linoleo                       lineseed oil, lineseed-oil
linoleumo                     linoleum
liphararo                     moustache
lipharoj                      moustache
lipo                          lip
lirli                         burble, gurgle, murmur, purl
liro                          lira, lyre
liro[1]                       lyre
liro[2]                       lira
Lisbono                       Lisbon
lispi                         lisp
listigi                       list, make a list
listo                         list
lita superkovrilo             bedspread, counterpane, coverlet
litajxo                       bed-clothes, bedding
litanio                       litany
lite                          abed
literatura                    literary
literaturo                    literature
litero                        letter
literumi                      spell
litio                         lithium
litkadro                      bedstead
litkovrilo                    blanket
litkuseno                     pillow
litmalsana                    bedridden, confined to one's bed, laid up
lito                          bed
litorino                      winkle, periwinkle
litova                        Lithuanian
litovino                      Lithuanian woman
Litovio                       Lithuania
litovo                        Lithuanian
Litovujo                      Lithuania
litro                         liter, litre
litsxranko                    cupboardbed
littuko                       sheet
liturgio                      liturgy
liturinado                    bed-wetting, enuresis
litvagono                     sleeping-car
liuto                         lute
livera servo                  parcels delivery, parcels service
liverauxto                    delivery van
liverauxtomobilo              delivery van
liveri                        deliver, furnish, supply
livero                        delivery
livona                        Livonian
Livonio                       Livonia
livono                        Livonian
Livonujo                      Livonia
Lofotoj                       Lofoten
logajxo                       bait
logi                          attract, decoy, lure
logika                        logical
logiko                        logic
logilo                        bait
logxado                       habitation
logxanta                      housed
logxantaro                    population
logxanto                      inhabitant
logxejo                       abode, accommodation, dwelling, residence
logxi                         dwell, live
logxigo                       accommodation
logxloko                      abode, dwelling place, dwelling-place, residence
logxocxambro                  living room, living-room, sitting room, sitting-room
Lohxalino                     Lochaline
Lohxmado                      Lochmaddy
lojala                        faithful, loyal
loka                          local
loki                          locate, place
loko                          location, place, spot
lokomotivo                    engine
lokusto                       grasshopper
lombardejo                    pawnshop
lombardi                      borrow money on, pawn
lombardo                      pawning
Londono                       London
longa                         long
longano                       longan
longe                         a long time, for a long time
longeco                       length
longeluda disko               LP
longetempa                    long, of long standing, prolonged, protracted
longetempe                    at great length, for a long time
longitudo                     longitude
longo                         length
lordo                         lord
Lorelejo                      Lorelei
Loreno                        Lorraine, Lothringen
lorno                         binocular, binoculars
loterio                       lottery, raffle
loti                          draw lots
lotumi                        allot
lotuso                        lotus
Loveno                        Louvain
luanto                        renter, tenant
lucerno                       hanging lamp
Lucifero                      Lucifer
ludejo                        playground
ludi                          play
ludi sur                      play, play on
ludilo                        toy
ludo                          game
ludoni                        let
luebla                        for rent
luebla domo                   house to let
lui                           hire
luigi                         let, rent out
luigita                       hired out
luita domo                    hired house, rented house
luko                          porthole, skylight
lukontrakto                   lease
luksajxo                      luxury
lukseco                       luxury
luksemburgano                 Luxembourger, Luxemburger
luksemburgia                  Luxembourg, Luxemburg
luksemburgiano                Luxembourger, Luxemburger
Luksemburgio                  Luxembourg, Luxemburg
Luksemburgo                   Luxembourg, Luxemburg
lukso                         luxury
Luksoro                       Luxor
lukti                         struggle, wrestle
luli                          lull, rock
lulilo                        cradle
lulkanto                      lullaby
luma                          bright, light
lumbo                         loin
lumbriko                      earthworm
lumgxeni                      dazzle
lumi                          shine
lumigi                        illuminate, light
lumigo                        lighting
lumo                          light
lumsxirmilo                   lamp-shade
lumtubo                       fluorescent lamp
lumturo                       lighthouse
luna                          lunar
luncxo                        lunch, snack
lundo                         Monday
luno-                         lunar, moon-
lupago                        rent
lupeo                         magnifying glass
lupino                        lupine, she-wolf
lupino[1]                     she-wolf
lupino[2]                     lupine
lupo                          wolf
lupolo                        hop, hops
luprezo                       rent, rent money
lustro                        chandelier
lutajxo                       solder
luti                          solder

M

macedona                      Macedonian
maco                          matzo, unleavened bread
macxgumo                      chewing gum, chewing-gum
macxi                         chew
madagaskara                   Madagascan
Madagaskaro                   Madagascar
Madejro                       Madeira
madjaro                       Magyar
Madono                        Madonna
Madrido                       Madrid
magazeno                      department store, warehouse
magazino                      magazine
Magdalenio                    Magdalenian
Magdaleno                     Magdalena
magia                         magical
magio                         magic
magistrata domo               town-hall
magistro                      master
magneta                       magnetic
magnetigi                     magnetize
magnetismo                    magnetism
magneto                       magnet
magnetofono                   tape recorder, tape-recorder
magnetoskopo                  video recorder, video-recorder
magnezio                      magnesium
Magogo                        Magog
magra                         gaunt, lean, meager, skimpy, skinny, thin
mahometano                    Mohammedan, Moslem, Muslim, Mussulman
Mahometo                      Mohammed, Muhammad
mahxo                         mach
maizo                         corn, Indian corn, maize, mealies
majao                         Maya
majesta                       majestic
majesteco                     majesty
majesto                       majesty
majo                          May
majorano                      majoram
majoritato                    majority
Majorko                       Majorca, Mallorca
majoro                        major
majskarabo                    june bug
majstro                       maestro, master
majusklo                      capital letter
Makabeoj                      Maccabees
makabra                       macabre
Makao                         Macau
makaronio                     macaroni
Makauxo                       Macao
makedona                      Macedonian
Makedonio                     Macedonia
makedono                      Macedonian
Makedonujo                    Macedonia
Makiavelo                     Machiavelli
maklerajxo                    brokerage, commission
makleri                       act as a middleman
makleristo                    broker
maklero                       broker
Makmuro                       MacMurray
makropo                       kangaroo
maksimuma                     maximum
maksimume                     at most
maksimumo                     maximum
makuleto                      spot
makuli                        soil, spot, stain
makulo                        blot, spot
makzelo                       jaw, jawbone
mala                          contrary, opposite
malabunda                     in short supply
malafabla                     brutal, gruff, harsh, rough, sour, surly, unkind, unpleasant
malafablega                   grim
Malagasio                     Madagascar
malagrabla                    bleak, dismal, dreary, horrible, ghastly, grisly, nasty
malagrabla laboreto           bad job
malaja                        Malay
Malajgo                       Mallaig
malajo                        Malay
Malajujo                      Malaysia
malajzia                      Malaysian
malajziano                    Malaysian
Malajzio                      Malaysia
malakcepti                    reject
malakcepti vocxdone           reject
malakcepto                    rejection
Malako                        Malacca
malakra                       blunt
malakrigi                     blunt
malalta                       low
malalta lernejo               grammar school, primary school
malaltega prezo               distress prize, rock-bottom prize
malaltgermana                 Low German
malaltigi                     abase, decrease, lower
malaltigi la prezojn de       mark down
malaltigo                     abasement
malaltreliefo                 bas-relief, low relief
malaltvalora                  inferior
malami                        hate
malamika                      hostile
malamikeco                    enmity
malamiko                      enemy
malaminda                     nasty
malamo                        hate
malantaux                     behind, after
malantauxa akso               back axle, hind axle, rear axle
malantauxa benko              back seat, rear seat
malantauxa flanko             back, reverse, reverse side
malantauxa glaco              rear window
malantauxa lampo              rear-lamp, rear-light, tail-light
malantauxa parto              back, rear
malantauxa platformo          rear platform
malantauxa pordo              back-door
malantauxa rado               back wheel, hind wheel, rear wheel
malantauxe                    behind
malantauxen                   aback, backwards
malantauxplano                background
malaperi                      disappear
malaperigi                    liquidate
malapero                      disappearance
malaprobegi                   do down, slash, slate
malaprobi                     condemn, disapprove, disapprove of, rebuke
malaprobinda                  blameworthy, censurable, condemnable, objectionable
malaprobo                     censure, condemnation, disapprobation, disapproval
malario                       malaria
malatenti                     neglect
malavantagxa                  detrimental, disadvantageous, prejudicial
malavantagxe                  detrimentally, disadvantageously, prejudicially
malavantagxo                  disadvantage
malavara                      generous
malavia                       Malawian
malaviano                     Malawian
Malavilago                    Lake Malawi
Malavio                       Malawi, Nyasaland
malbela                       nasty, ugly
malbelega                     dismal, dreary, horrible, nasty
malbeni                       curse
malbobenado                   unrolling, unwinding
malbobeni                     unroll, unwind, wind off
malbona                       bad, miserable, nasty, poor
malbona traktado              abuse
malbonajxo                    abuse
malbone                       badly
malbonfaro                    outrage
malbonfartanta                not well, unwell
malbonhumora                  cross, peevish, pettish, petulant
malbonigi                     spoil
malbonigxi                    go bad
malbonigxo                    corruption, decay, depravation, taint
malbonkvalita                 inferior
malbonsxance                  unfortunately
malbonsxanco                  bad luck
malcedi                       confront
malcxasta                     lewd
malcxaste                     lewdly
malcxastulino                 slut, trollop
maldekstra                    left
maldekstra flanko             left, left side
maldekstre                    on the left
maldekstren                   left, to the left
maldelikata                   coarse, crude, harsh
maldetala                     general, vague
maldika                       gaunt, lean, slender, thin
maldiligenta                  lazy
maldiligenteco                laziness
maldiskreta                   meddlesome
maldiskreteco                 meddlesomeness
maldolcxa                     bitter
maldolcxeco                   bitterness
maldorma                      awake
maldunga arangxo              redundancy pay, redundancy scheme, severance scheme
maldungi                      discharge, dismiss, fire, sack
maldungo                      discharge, paying off
male                          on the contrary
malebena                      bumpy
malebenajxo                   bump
malebligi                     bar, inhibit, prevent
malebria                      sober
malediva                      Maldivian
maledivano                    Maldivian
Maledivoj                     Maldive Islands, Maldives
malegala                      different
maleleganta                   coarse, crude
malembarasi                   rid
maleolo                       ankle
malespera                     desperate
malespere                     despairingly
malesperi                     despair
malespero                     despair
malestimeco                   abjection
malestimi                     despise
malestiminda                  abject
malestimo                     contempt
malfacila                     difficult, hard, inconvenient
malfacilajxo                  difficulty, trouble
malfacile                     hardly, not easily, with difficulty
malfaciligi                   hamper, hinder, thwart
malfaldi                      spread out
malfekunda                    barren, infertile
malfelicxa                    unhappy
malfelicxe                    unfortunately
malfelicxiga                  miserable
malfelicxulo                  unfortunate
malfermegi la busxon          open one's mouth wide
malfermetita                  ajar
malfermi                      open, open up
